pair_source,available_genuine,available_misleading,replacement_pairs,replacement_rows
AFP Fact Check,0,156,0,0
Africa Check,17,113,17,34
Australian Associated Press,0,1,0,0
BOOM,0,38,0,0
Check Your Fact,0,18,0,0
Dubawa,1,44,1,2
FactCheckNI,3,0,0,0
FactCheckZW,0,1,0,0
Full Fact,9,0,0,0
Grass Fact Check,31,8,8,16
India Today,0,8,0,0
NewsMeter,0,47,0,0
NewsMobile,0,22,0,0
PA Fact Check,0,3,0,0
PolitiFact,28,184,28,56
PressOnePH,0,10,0,0
Science Feedback,0,5,0,0
Snopes,20,61,20,40
THIP Media,0,2,0,0
The Ferret,2,0,0,0
USA TODAY,0,1,0,0
VERA Files,0,29,0,0
Vishvas News,0,22,0,0
