matched_pair_id,pair_source,shared_concept_count,concept_jaccard,word_difference,has_shared_concept
politifact_001,PolitiFact,3,1.0,3,True
politifact_002,PolitiFact,3,1.0,25,True
politifact_003,PolitiFact,2,1.0,0,True
politifact_004,PolitiFact,2,1.0,1,True
politifact_005,PolitiFact,2,1.0,1,True
politifact_006,PolitiFact,2,1.0,2,True
politifact_007,PolitiFact,2,1.0,2,True
politifact_008,PolitiFact,2,1.0,3,True
politifact_009,PolitiFact,2,1.0,5,True
politifact_010,PolitiFact,2,1.0,5,True
politifact_011,PolitiFact,2,1.0,6,True
politifact_012,PolitiFact,2,1.0,7,True
politifact_013,PolitiFact,2,1.0,9,True
politifact_014,PolitiFact,2,1.0,12,True
politifact_015,PolitiFact,2,0.6666666666666666,5,True
politifact_016,PolitiFact,1,1.0,0,True
politifact_017,PolitiFact,1,1.0,0,True
politifact_018,PolitiFact,1,1.0,0,True
politifact_019,PolitiFact,1,1.0,0,True
politifact_020,PolitiFact,1,1.0,0,True
politifact_021,PolitiFact,1,1.0,0,True
politifact_022,PolitiFact,1,1.0,0,True
politifact_023,PolitiFact,1,1.0,0,True
politifact_024,PolitiFact,1,1.0,0,True
politifact_025,PolitiFact,1,1.0,0,True
politifact_026,PolitiFact,1,1.0,0,True
politifact_027,PolitiFact,1,1.0,0,True
politifact_028,PolitiFact,1,1.0,0,True
politifact_029,PolitiFact,1,1.0,0,True
politifact_030,PolitiFact,1,1.0,0,True
politifact_031,PolitiFact,1,1.0,0,True
politifact_032,PolitiFact,1,1.0,0,True
politifact_033,PolitiFact,1,1.0,0,True
politifact_034,PolitiFact,1,1.0,0,True
politifact_035,PolitiFact,1,1.0,0,True
politifact_036,PolitiFact,1,1.0,0,True
politifact_037,PolitiFact,1,1.0,0,True
politifact_038,PolitiFact,1,1.0,0,True
politifact_039,PolitiFact,1,1.0,0,True
politifact_040,PolitiFact,1,1.0,0,True
politifact_041,PolitiFact,1,1.0,0,True
politifact_042,PolitiFact,1,1.0,0,True
politifact_043,PolitiFact,1,1.0,0,True
politifact_044,PolitiFact,1,1.0,0,True
politifact_045,PolitiFact,1,1.0,0,True
politifact_046,PolitiFact,1,1.0,0,True
politifact_047,PolitiFact,1,1.0,0,True
politifact_048,PolitiFact,1,1.0,0,True
politifact_049,PolitiFact,1,1.0,0,True
politifact_050,PolitiFact,1,1.0,0,True
politifact_051,PolitiFact,1,1.0,0,True
politifact_052,PolitiFact,1,1.0,0,True
politifact_053,PolitiFact,1,1.0,0,True
politifact_054,PolitiFact,1,1.0,0,True
politifact_055,PolitiFact,1,1.0,0,True
politifact_056,PolitiFact,1,1.0,0,True
politifact_057,PolitiFact,1,1.0,0,True
politifact_058,PolitiFact,1,1.0,0,True
politifact_059,PolitiFact,1,1.0,0,True
politifact_060,PolitiFact,1,1.0,0,True
politifact_061,PolitiFact,1,1.0,0,True
politifact_062,PolitiFact,1,1.0,0,True
politifact_063,PolitiFact,1,1.0,0,True
politifact_064,PolitiFact,1,1.0,0,True
politifact_065,PolitiFact,1,1.0,0,True
politifact_066,PolitiFact,1,1.0,0,True
politifact_067,PolitiFact,1,1.0,0,True
politifact_068,PolitiFact,1,1.0,0,True
politifact_069,PolitiFact,1,1.0,0,True
politifact_070,PolitiFact,1,1.0,0,True
politifact_071,PolitiFact,1,1.0,0,True
politifact_072,PolitiFact,1,1.0,0,True
politifact_073,PolitiFact,1,1.0,0,True
politifact_074,PolitiFact,1,1.0,0,True
politifact_075,PolitiFact,1,1.0,0,True
politifact_076,PolitiFact,1,1.0,0,True
politifact_077,PolitiFact,1,1.0,0,True
politifact_078,PolitiFact,1,1.0,0,True
politifact_079,PolitiFact,1,1.0,0,True
politifact_080,PolitiFact,1,1.0,0,True
politifact_081,PolitiFact,1,1.0,0,True
politifact_082,PolitiFact,1,1.0,0,True
politifact_083,PolitiFact,1,1.0,0,True
politifact_084,PolitiFact,1,1.0,0,True
politifact_085,PolitiFact,1,1.0,0,True
politifact_086,PolitiFact,1,1.0,0,True
politifact_087,PolitiFact,1,1.0,0,True
politifact_088,PolitiFact,1,1.0,0,True
politifact_089,PolitiFact,1,1.0,0,True
politifact_090,PolitiFact,1,1.0,0,True
politifact_091,PolitiFact,1,1.0,0,True
politifact_092,PolitiFact,1,1.0,0,True
politifact_093,PolitiFact,1,1.0,0,True
politifact_094,PolitiFact,1,1.0,0,True
politifact_095,PolitiFact,1,1.0,0,True
politifact_096,PolitiFact,1,1.0,0,True
politifact_097,PolitiFact,1,1.0,0,True
politifact_098,PolitiFact,1,1.0,0,True
politifact_099,PolitiFact,1,1.0,0,True
politifact_100,PolitiFact,1,1.0,0,True
politifact_101,PolitiFact,1,1.0,0,True
politifact_102,PolitiFact,1,1.0,1,True
politifact_103,PolitiFact,1,1.0,1,True
politifact_104,PolitiFact,1,1.0,1,True
politifact_105,PolitiFact,1,1.0,1,True
politifact_106,PolitiFact,1,1.0,1,True
politifact_107,PolitiFact,1,1.0,1,True
politifact_108,PolitiFact,1,1.0,1,True
politifact_109,PolitiFact,1,1.0,1,True
politifact_110,PolitiFact,1,1.0,1,True
politifact_111,PolitiFact,1,1.0,1,True
politifact_112,PolitiFact,1,1.0,1,True
politifact_113,PolitiFact,1,1.0,1,True
politifact_114,PolitiFact,1,1.0,1,True
politifact_115,PolitiFact,1,1.0,1,True
politifact_116,PolitiFact,1,1.0,1,True
politifact_117,PolitiFact,1,1.0,1,True
politifact_118,PolitiFact,1,1.0,1,True
politifact_119,PolitiFact,1,1.0,1,True
politifact_120,PolitiFact,1,1.0,1,True
politifact_121,PolitiFact,1,1.0,1,True
politifact_122,PolitiFact,1,1.0,1,True
politifact_123,PolitiFact,1,1.0,1,True
politifact_124,PolitiFact,1,1.0,1,True
politifact_125,PolitiFact,1,1.0,1,True
politifact_126,PolitiFact,1,1.0,1,True
politifact_127,PolitiFact,1,1.0,1,True
politifact_128,PolitiFact,1,1.0,1,True
politifact_129,PolitiFact,1,1.0,1,True
politifact_130,PolitiFact,1,1.0,1,True
politifact_131,PolitiFact,1,1.0,1,True
politifact_132,PolitiFact,1,1.0,1,True
politifact_133,PolitiFact,1,1.0,1,True
politifact_134,PolitiFact,1,1.0,1,True
politifact_135,PolitiFact,1,1.0,1,True
politifact_136,PolitiFact,1,1.0,2,True
politifact_137,PolitiFact,1,1.0,2,True
politifact_138,PolitiFact,1,1.0,2,True
politifact_139,PolitiFact,1,1.0,2,True
politifact_140,PolitiFact,1,1.0,2,True
politifact_141,PolitiFact,1,1.0,2,True
politifact_142,PolitiFact,1,1.0,2,True
politifact_143,PolitiFact,1,1.0,2,True
politifact_144,PolitiFact,1,1.0,2,True
politifact_145,PolitiFact,1,1.0,2,True
