split,matched_pair_id,misleading_id,genuine_id,misleading_topic,genuine_topic,exact_topic_match,misleading_word_count,genuine_word_count,absolute_word_difference
train,train_pair_0001,2004,2626,other_finance,other_finance,True,11,11,0
train,train_pair_0002,17032,13331,trade,trade,True,10,9,1
train,train_pair_0003,16491,4764,trade,trade,True,13,15,2
train,train_pair_0004,16317,12143,trade,trade,True,15,16,1
train,train_pair_0005,16443,12152,trade,trade,True,16,16,0
train,train_pair_0006,12773,14939,trade,trade,True,18,17,1
train,train_pair_0007,3035,3247,trade,trade,True,27,25,2
train,train_pair_0008,5307,11970,business_and_markets,business_and_markets,True,7,8,1
train,train_pair_0009,14261,4575,business_and_markets,business_and_markets,True,8,10,2
train,train_pair_0010,1000,64,business_and_markets,business_and_markets,True,9,12,3
train,train_pair_0011,3072,10738,business_and_markets,business_and_markets,True,9,15,6
train,train_pair_0012,17475,496,business_and_markets,business_and_markets,True,12,19,7
train,train_pair_0013,13799,920,business_and_markets,business_and_markets,True,14,21,7
train,train_pair_0014,1847,16581,business_and_markets,business_and_markets,True,24,24,0
train,train_pair_0015,9192,1021,business_and_markets,business_and_markets,True,27,28,1
train,train_pair_0016,700,3721,business_and_markets,business_and_markets,True,28,26,2
train,train_pair_0017,4614,6623,banking_and_credit,banking_and_credit,True,8,9,1
train,train_pair_0018,22788,6591,banking_and_credit,banking_and_credit,True,8,10,2
train,train_pair_0019,4112,2022,banking_and_credit,banking_and_credit,True,10,11,1
train,train_pair_0020,2715,5658,banking_and_credit,banking_and_credit,True,12,11,1
train,train_pair_0021,1801,15609,banking_and_credit,banking_and_credit,True,13,13,0
train,train_pair_0022,4761,7513,banking_and_credit,banking_and_credit,True,13,15,2
train,train_pair_0023,4932,1660,banking_and_credit,banking_and_credit,True,14,16,2
train,train_pair_0024,21910,7664,banking_and_credit,banking_and_credit,True,21,21,0
train,train_pair_0025,120,14714,banking_and_credit,banking_and_credit,True,29,27,2
train,train_pair_0026,11329,13030,banking_and_credit,banking_and_credit,True,31,37,6
train,train_pair_0027,15586,11496,banking_and_credit,banking_and_credit,True,32,38,6
train,train_pair_0028,1651,992,banking_and_credit,taxation,False,39,39,0
train,train_pair_0029,2654,7202,social_welfare,social_welfare,True,6,11,5
train,train_pair_0030,1426,8486,social_welfare,social_welfare,True,7,12,5
train,train_pair_0031,9425,10612,social_welfare,social_welfare,True,8,12,4
train,train_pair_0032,3414,4241,social_welfare,social_welfare,True,9,13,4
train,train_pair_0033,15037,12651,social_welfare,social_welfare,True,9,14,5
train,train_pair_0034,17659,8743,social_welfare,social_welfare,True,10,15,5
train,train_pair_0035,12333,4273,social_welfare,social_welfare,True,11,16,5
train,train_pair_0036,2213,5098,social_welfare,social_welfare,True,12,17,5
train,train_pair_0037,2605,12826,social_welfare,social_welfare,True,12,17,5
train,train_pair_0038,9331,22012,social_welfare,social_welfare,True,12,17,5
train,train_pair_0039,10550,1436,social_welfare,social_welfare,True,12,19,7
train,train_pair_0040,12816,4239,social_welfare,social_welfare,True,12,19,7
train,train_pair_0041,17511,79,social_welfare,public_finance,False,12,12,0
train,train_pair_0042,6245,10253,social_welfare,social_welfare,True,13,22,9
train,train_pair_0043,16570,9,social_welfare,taxation,False,13,13,0
train,train_pair_0044,21845,440,social_welfare,taxation,False,13,13,0
train,train_pair_0045,1007,582,social_welfare,taxation,False,14,14,0
train,train_pair_0046,15360,10,social_welfare,labour_and_income,False,15,15,0
train,train_pair_0047,2320,882,social_welfare,public_finance,False,16,16,0
train,train_pair_0048,15853,1392,social_welfare,social_welfare,True,17,26,9
train,train_pair_0049,17171,2809,social_welfare,social_welfare,True,17,26,9
train,train_pair_0050,16955,727,social_welfare,taxation,False,18,18,0
train,train_pair_0051,1806,809,social_welfare,public_finance,False,19,19,0
train,train_pair_0052,12545,1390,social_welfare,labour_and_income,False,19,19,0
train,train_pair_0053,12879,2627,social_welfare,public_finance,False,19,19,0
train,train_pair_0054,18277,2639,social_welfare,taxation,False,19,19,0
train,train_pair_0055,22245,706,social_welfare,taxation,False,20,20,0
train,train_pair_0056,2250,240,social_welfare,taxation,False,21,21,0
train,train_pair_0057,2768,6012,social_welfare,social_welfare,True,23,31,8
train,train_pair_0058,2745,12881,social_welfare,social_welfare,True,24,32,8
train,train_pair_0059,2557,503,social_welfare,public_finance,False,25,25,0
train,train_pair_0060,22160,1507,social_welfare,social_welfare,True,29,35,6
train,train_pair_0061,1061,2843,social_welfare,social_welfare,True,33,41,8
train,train_pair_0062,1024,2927,social_welfare,taxation,False,35,35,0
train,train_pair_0063,6500,3805,social_welfare,public_finance,False,35,35,0
train,train_pair_0064,2580,80,macroeconomy,macroeconomy,True,5,8,3
train,train_pair_0065,10845,303,macroeconomy,macroeconomy,True,7,8,1
train,train_pair_0066,1918,22,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0067,9139,53,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0068,11402,7732,macroeconomy,macroeconomy,True,9,9,0
train,train_pair_0069,352,4684,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0070,4086,6757,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0071,6763,10069,macroeconomy,macroeconomy,True,10,10,0
train,train_pair_0072,1210,1655,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0073,2686,2764,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0074,8157,6006,macroeconomy,macroeconomy,True,11,11,0
train,train_pair_0075,15531,2328,macroeconomy,macroeconomy,True,12,12,0
train,train_pair_0076,21842,6744,macroeconomy,macroeconomy,True,12,12,0
train,train_pair_0077,6649,734,macroeconomy,macroeconomy,True,13,13,0
train,train_pair_0078,21761,2985,macroeconomy,macroeconomy,True,13,13,0
train,train_pair_0079,233,16140,macroeconomy,macroeconomy,True,14,14,0
train,train_pair_0080,4835,689,macroeconomy,macroeconomy,True,14,15,1
train,train_pair_0081,19698,6892,macroeconomy,macroeconomy,True,14,15,1
train,train_pair_0082,1462,8933,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0083,6767,10573,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0084,13393,20415,macroeconomy,macroeconomy,True,15,15,0
train,train_pair_0085,19633,7109,macroeconomy,macroeconomy,True,15,16,1
train,train_pair_0086,21536,8131,macroeconomy,macroeconomy,True,15,16,1
train,train_pair_0087,13443,8438,macroeconomy,macroeconomy,True,16,16,0
train,train_pair_0088,21626,11132,macroeconomy,macroeconomy,True,16,16,0
train,train_pair_0089,410,758,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0090,7076,2947,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0091,10198,9121,macroeconomy,macroeconomy,True,17,17,0
train,train_pair_0092,10227,2633,macroeconomy,macroeconomy,True,17,18,1
train,train_pair_0093,2669,8479,macroeconomy,macroeconomy,True,18,18,0
train,train_pair_0094,20091,5765,macroeconomy,macroeconomy,True,18,19,1
train,train_pair_0095,21737,951,macroeconomy,macroeconomy,True,18,20,2
train,train_pair_0096,21537,2020,macroeconomy,macroeconomy,True,19,20,1
train,train_pair_0097,11895,4506,macroeconomy,macroeconomy,True,20,20,0
train,train_pair_0098,20037,10627,macroeconomy,macroeconomy,True,21,21,0
train,train_pair_0099,2775,6731,macroeconomy,macroeconomy,True,22,22,0
train,train_pair_0100,4978,11913,macroeconomy,macroeconomy,True,22,22,0
train,train_pair_0101,21136,572,macroeconomy,macroeconomy,True,23,23,0
train,train_pair_0102,4756,4317,macroeconomy,macroeconomy,True,25,25,0
train,train_pair_0103,1237,11948,macroeconomy,macroeconomy,True,26,25,1
train,train_pair_0104,17316,4359,macroeconomy,macroeconomy,True,26,28,2
train,train_pair_0105,3798,868,macroeconomy,macroeconomy,True,34,34,0
train,train_pair_0106,10214,21293,macroeconomy,macroeconomy,True,38,37,1
train,train_pair_0107,17237,15464,macroeconomy,macroeconomy,True,47,51,4
train,train_pair_0108,2719,5216,labour_and_income,labour_and_income,True,6,6,0
train,train_pair_0109,9475,1263,labour_and_income,labour_and_income,True,6,7,1
train,train_pair_0110,12154,8547,labour_and_income,labour_and_income,True,6,7,1
train,train_pair_0111,2923,9316,labour_and_income,labour_and_income,True,7,7,0
train,train_pair_0112,11497,13958,labour_and_income,labour_and_income,True,7,7,0
train,train_pair_0113,18743,16824,labour_and_income,labour_and_income,True,7,7,0
