claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,article title,publish date,climate,entities,original_split,claim_normalised,categories_list,tags_list,category_text,tag_text,metadata_text,word_count,factcheck_domain,finance_metadata_match,label_normalised,metadata_normalised,is_question,specific_finance_metadata,generic_business_metadata,finance_text_support,campaign_finance_only,finance_selection_reason,binary_label_name
para-00013,"Let’s face it, we’ve had the five biggest deficits in Australian history from Wayne Swan’s five budgets.",mostly false,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/23/tony-abbott/abbott-says-swan-delivered-five-biggest-deficits-e/index.html,,"['Budget', 'Debt', 'Economy']",Tony Abbott,"Michael Koziol, Peter Fray",,Abbott says Wayne Swan delivered five biggest deficits ever,"Wednesday, October 23, 2013 at 8:18 p.m.",,['Australia'],train,let s face it we ve had the five biggest deficits in australian history from wayne swan s five budgets,"['Budget', 'Debt', 'Economy']",[],Budget | Debt | Economy,,budget | debt | economy | ,17,pandora.nla.gov.au,True,mostly false,budget | debt | economy | ,False,True,False,False,False,specific_finance_metadata,misleading
abbc-00328,The claim: Andrew McKellar says the average motorist will pay somewhere in the region of $140 extra a year with an increase in the fuel tax excise from November 10.,in-between,http://www.abc.net.au/news/2014-11-10/cost-of-the-fuel-tax-indexation-exaggerated-fact-check/5853830,The claim: Andrew McKellar says the average motorist will pay somewhere in the region of $140 extra a year with an increase in the fuel tax excise from November 10.,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",,,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",Fact check: How much will the fuel tax hike leave you out of pocket?,"Sun 8 May 2016, 8:08am",,['None'],train,the claim andrew mckellar says the average motorist will pay somewhere in the region of 140 extra a year with an increase in the fuel tax excise from november 10,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']","['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia | tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,30,www.abc.net.au,True,in-between,tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia | tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,False,True,True,True,False,specific_finance_metadata,
para-00117,"The Labor government is ""already a lower taxing government"" than the previous Coalition government.",mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/10/penny-wong/labor-taxes-lower-costellos/index.html,,"['Economy', 'Tax']",Penny Wong,"Alix Piatek, David Humphries",,We're lower taxing than Howard and Costello: Wong,"Wednesday, July 10, 2013 at 11:22 a.m.",,"['Coalition_(Australia)', 'Australian_Labor_Party']",train,the labor government is already a lower taxing government than the previous coalition government,"['Economy', 'Tax']",[],Economy | Tax,,economy | tax | ,14,pandora.nla.gov.au,True,mostly true,economy | tax | ,False,True,False,False,False,specific_finance_metadata,genuine
para-00059,"Labor website is ""a snapshot of the cuts we know Tony Abbott plans to make should he be elected"".",mostly false,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/23/penny-wong/cuts-costs-and-con-jobs-another-day-election-2013/index.html,,"['Campaign ads', 'Cost of living', 'Economy', 'Education', 'Employment', 'Health', 'Industrial relations']",Penny Wong,"Peter Martin, Peter Fray",,"Cuts, costs and con-jobs: another day in election 2013","Friday, August 23, 2013 at 12:54 p.m.",,['Tony_Abbott'],train,labor website is a snapshot of the cuts we know tony abbott plans to make should he be elected,"['Campaign ads', 'Cost of living', 'Economy', 'Education', 'Employment', 'Health', 'Industrial relations']",[],Campaign ads | Cost of living | Economy | Education | Employment | Health | Industrial relations,,campaign ads | cost of living | economy | education | employment | health | industrial relations | ,19,pandora.nla.gov.au,True,mostly false,campaign ads | cost of living | economy | education | employment | health | industrial relations | ,False,True,False,False,False,specific_finance_metadata,misleading
abbc-00318,"The claim: Joe Hockey has warned that Australia is at a ""tipping point"" and living beyond its means. ""We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills,"" he said.",in-between,http://www.abc.net.au/news/2015-02-13/hockey-100-million/6085378,"The claim: Joe Hockey has warned that Australia is at a ""tipping point"" and living beyond its means. ""We cannot continue to go on borrowing $100 million a day as a government just to pay our daily bills,"" he said.","['federal-government', 'budget', 'liberals', 'australia']",,,"['federal-government', 'budget', 'liberals', 'australia']",Fact check: Hockey over-eggs 'borrowing $100 million a day' claim,"Thu 3 Mar 2016, 6:01am",,['None'],train,the claim joe hockey has warned that australia is at a tipping point and living beyond its means we cannot continue to go on borrowing 100 million a day as a government just to pay our daily bills he said,"['federal-government', 'budget', 'liberals', 'australia']","['federal-government', 'budget', 'liberals', 'australia']",federal-government | budget | liberals | australia,federal-government | budget | liberals | australia,federal-government | budget | liberals | australia | federal-government | budget | liberals | australia,40,www.abc.net.au,True,in-between,federal-government | budget | liberals | australia | federal-government | budget | liberals | australia,False,True,False,False,False,specific_finance_metadata,
abbc-00393,"The claim: Joe Hockey says within six years Australia will have ""the biggest medical research endowment fund in the world"".",in-between,http://www.abc.net.au/news/2014-05-21/will-australia-have-the-biggest-medical-research-fund/5454810,"The claim: Joe Hockey says within six years Australia will have ""the biggest medical research endowment fund in the world"".","['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",,,"['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",Will Australia's new medical research fund be the biggest in the world?,"Wed 21 May 2014, 3:05am",,['None'],train,the claim joe hockey says within six years australia will have the biggest medical research endowment fund in the world,"['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']","['medical-research', 'health', 'doctors-and-medical-professionals', 'liberals', 'government-and-politics', 'budget', 'hockey-joe', 'australia']",medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia | medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,20,www.abc.net.au,True,in-between,medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia | medical-research | health | doctors-and-medical-professionals | liberals | government-and-politics | budget | hockey-joe | australia,False,True,False,False,False,specific_finance_metadata,
abbc-00283,A panel of experts has agreed to advise ABC Fact Check for its work on economic issues.,in-between,http://www.abc.net.au/news/2016-02-18/fact-check-were-300000-jobs-created-in-2015/7135894,A panel of experts has agreed to advise ABC Fact Check for its work on economic issues.,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']",,,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']","Fact check: Were 301,000 jobs created in 2015?","Thu 3 Mar 2016, 1:14am",,['None'],train,a panel of experts has agreed to advise abc fact check for its work on economic issues,"['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']","['unemployment', 'economic-trends', 'turnbull-malcolm', 'liberals', 'australia']",unemployment | economic-trends | turnbull-malcolm | liberals | australia,unemployment | economic-trends | turnbull-malcolm | liberals | australia,unemployment | economic-trends | turnbull-malcolm | liberals | australia | unemployment | economic-trends | turnbull-malcolm | liberals | australia,17,www.abc.net.au,True,in-between,unemployment | economic-trends | turnbull-malcolm | liberals | australia | unemployment | economic-trends | turnbull-malcolm | liberals | australia,False,True,False,False,False,specific_finance_metadata,
tron-01502,President Trump Announces $612 Stimulus Checks,fiction!,https://www.truthorfiction.com/donald-trump-612-checks/,,government,,,"['donald trump', 'presidencies', 'taxes']",President Trump Announces $612 Stimulus Checks,"Feb 15, 2017",,['None'],train,president trump announces 612 stimulus checks,['government'],"['donald trump', 'presidencies', 'taxes']",government,donald trump | presidencies | taxes,government | donald trump | presidencies | taxes,6,www.truthorfiction.com,True,fiction!,government | donald trump | presidencies | taxes,False,True,False,False,False,specific_finance_metadata,misleading
snes-04819,Target's stock price has plummeted due to a boycott over the store's transgender restroom policy.,mixture,https://www.snopes.com/fact-check/target-stock-boycott/,,Business,,Dan Evon,,Target Stock Plummets After One Million People Boycott Stores?,3 May 2016,,['None'],train,target s stock price has plummeted due to a boycott over the store s transgender restroom policy,['Business'],[],Business,,business | ,15,www.snopes.com,True,mixture,business | ,False,False,True,True,False,generic_business_plus_finance_text,
para-00136,"The 960,000 jobs added under Labor are ""a result of the actions of this government"".",half-true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/26/wayne-swan/Jobs-created-result-Labor-actions/index.html,,['Economy'],Wayne Swan,"David Humphries, Su-Lin Tan, Peter Fray",,"The 960,000 jobs added under Labor are ""a result of the actions of this government"".","Wednesday, June 26, 2013 at 6:06 p.m.",,['None'],train,the 960 000 jobs added under labor are a result of the actions of this government,['Economy'],[],Economy,,economy | ,15,pandora.nla.gov.au,True,half-true,economy | ,False,True,False,False,False,specific_finance_metadata,
