matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file
grass_fact_check_019,Grass Fact Check,genuine,"""Wages in different sectors have grown significantly. A total of 24,800 new businesses have registered in the first six months of 2014 which is 737 more than that of the previous year. The turnover in the business sector exceeded GEL 21 billion in the fir",genuine,true,True,['employment'],45,True,1,1.0,35,2014-10-29T00:00:00,https://factcheck.ge/en/story/15026-wages-in-different-sectors-have-grown-significantly-a-total-of-24800-new-businesses-have-registered-in-the-first-six-months-of-2014-which-is-737-more-than-that-of-the-previous-year-the-tur,43787,43959,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 35-word length gap.,False,True,True,False,3,0,factors_audit_chunk_01_completed.csv
grass_fact_check_019,Grass Fact Check,misleading,The unemployment rate in Georgia is at a historic high,misleading,lie,False,['employment'],10,True,1,1.0,35,2022-06-06T00:00:00,https://factcheck.ge/en/story/40822-the-unemployment-rate-in-georgia-is-at-a-historic-high,44205,44378,yes,yes,yes,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 35-word length gap.,False,False,True,False,2,0,factors_audit_chunk_01_completed.csv
grass_fact_check_018,Grass Fact Check,genuine,"""Georgia is still among the poor countries. The GDP per capita equals GEL 6,000 with a total of 118 countries ranking higher. We doubled the GDP per capita after 2003. A minimum of a 7% or an 8% growth is necessary in order for this figure to double again",genuine,true,True,['macroeconomy'],49,True,1,1.0,32,2014-10-30T00:00:00,https://factcheck.ge/en/story/15044-georgia-is-still-among-the-poor-countries-the-gdp-per-capita-equals-gel-6000-with-a-total-of-118-countries-ranking-higher-we-doubled-the-gdp-per-capita-after-2003-a-minimum-of-a-7-or-an-8,43789,43961,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated and the misleading claim uses an unidentified first-person speaker; 32-word length gap.,False,True,True,False,3,1,factors_audit_chunk_01_completed.csv
grass_fact_check_018,Grass Fact Check,misleading,"""Our government managed to achieve a 4.7%-4.8% economic growth rate last year. This is a huge success.""",misleading,false,False,['macroeconomy'],17,True,1,1.0,32,2015-02-11T00:00:00,https://factcheck.ge/en/story/16281-our-government-managed-to-achieve-a-4-7-4-8-economic-growth-rate-last-year-this-is-a-huge-success,43822,43994,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated and the misleading claim uses an unidentified first-person speaker; 32-word length gap.,False,False,True,False,2,1,factors_audit_chunk_01_completed.csv
politifact_178,PolitiFact,genuine,"""U.S. agricultural & food exports are expected to increase more than $2 billion annually under #USMCA""",genuine,true,True,['trade'],16,True,1,1.0,29,2019-09-17T00:00:00,https://www.politifact.com/factchecks/2019/sep/17/roy-blunt/report-backs-blunt-claim-2-billion-increase-trade-/,74288,76829,yes,yes,yes,yes,no,Rejected pair: misleading quotation lacks an identified speaker/context and the pair has a 29-word length gap.,False,False,True,False,2,2,factors_audit_chunk_01_completed.csv
politifact_178,PolitiFact,misleading,"""We're going to be looking at $8 billion a day that we're going to be pouring into foreign countries in order to import that make-up fuel that we're going to need to take the place of what we could have gotten out of the gulf.""",misleading,pants-fire,False,['trade'],45,True,1,1.0,29,2011-06-03T00:00:00,https://www.politifact.com/factchecks/2011/jun/03/sarah-palin/palin-claims-loss-gulf-oil-production-gulf-will-co/,69711,72212,yes,yes,no,yes,no,Rejected pair: misleading quotation lacks an identified speaker/context and the pair has a 29-word length gap.,False,True,True,False,3,2,factors_audit_chunk_01_completed.csv
grass_fact_check_017,Grass Fact Check,genuine,"""Foreign remittances in 2020 increased by 9% as compared to the previous year and reached a record high of USD 1.88 billion. This is precisely as much as the foreign direct investments in the same period. This is the country's gross domestic product for a",genuine,true,True,['macroeconomy'],45,True,1,1.0,26,2021-01-25T00:00:00,https://factcheck.ge/en/story/39018--foreign-remittances-in-2020-increased-by-9-as-compared-to-the-previous-year-and-reached-a-record-high-of-usd-1-88-billion-this-is-precisely-as-much-as-the-foreign-direct-investments-in-the-same-period-this-is-the-country-s-gross-domestic-product-for-almo,43925,44097,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 26-word length gap.,False,True,True,False,3,3,factors_audit_chunk_01_completed.csv
grass_fact_check_017,Grass Fact Check,misleading,"""For the last two years, Georgia's economic growth exceeds 5% and this is the best performance in the region""",misleading,lie,False,['macroeconomy'],19,True,1,1.0,26,2020-02-12T00:00:00,https://factcheck.ge/en/story/38341--for-the-last-two-years-georgia-s-economic-growth-exceeds-5-and-this-is-the-best-performance-in-the-region,43626,43798,yes,yes,yes,yes,no,Rejected pair: genuine claim is truncated mid-sentence and the pair has a 26-word length gap.,False,False,True,False,2,3,factors_audit_chunk_01_completed.csv
politifact_002,PolitiFact,genuine,"""When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",genuine,true,True,"['tax', 'employment', 'income']",55,True,3,1.0,25,2023-05-12T00:00:00,https://www.politifact.com/factchecks/2023/may/12/robin-vos/yes-wisconsins-tax-coffers-would-take-a-hit-if-bre/,77427,80106,yes,yes,yes,yes,no,"Rejected pair: both claims are valid financial statements, but the 25-word length gap is too large for the matched design.",False,True,True,False,3,4,factors_audit_chunk_01_completed.csv
politifact_002,PolitiFact,misleading,"Says Joe Biden and Kamala Harris would raise the federal income tax rate for a person with a bi-weekly gross salary of $3,000 to 39.6%, costing ""nearly half your paycheck.""",misleading,false,False,"['tax', 'employment', 'income']",30,True,3,1.0,25,2020-08-26T00:00:00,https://www.politifact.com/factchecks/2020/aug/26/facebook-posts/another-widespread-facebook-post-spreads-false-cla/,61098,63481,yes,yes,yes,yes,no,"Rejected pair: both claims are valid financial statements, but the 25-word length gap is too large for the matched design.",False,False,True,False,2,4,factors_audit_chunk_01_completed.csv
grass_fact_check_003,Grass Fact Check,genuine,"""Under high dollarisation and import-dependency, the deficit growth leads to higher macroeconomic risks. The loan attraction increased and currently we have a 60.1% debt to GDP ratio with a large portion of foreign loans. When most of the foreign debt is",genuine,true,True,"['debt', 'deficit', 'loan', 'macroeconomy', 'trade']",41,True,2,0.4,14,2021-02-22T00:00:00,https://factcheck.ge/en/story/39124--under-high-dollarisation-and-import-dependency-the-deficit-growth-leads-to-higher-macroeconomic-risks-the-loan-attraction-increased-and-currently-we-have-a-60-1-debt-to-gdp-ratio-with-a-large-portion-of-foreign-loans-when-most-of-the-foreign-debt-is-deno,43919,44091,yes,yes,no,yes,no,Rejected pair: genuine claim is truncated mid-sentence.,False,True,True,False,3,5,factors_audit_chunk_01_completed.csv
grass_fact_check_003,Grass Fact Check,misleading,"""The result of the Georgian Dream's faulty economic policy: state foreign debt exceeded the allowed threshold and reached GEL 31.9 billion which constitutes 61.3% of the GDP.""",misleading,lie,False,"['debt', 'macroeconomy']",27,True,2,0.4,14,2021-04-05T00:00:00,https://factcheck.ge/en/story/39329--the-result-of-the-georgian-dream-s-faulty-economic-policy-state-foreign-debt-exceeded-the-allowed-threshold-and-reached-gel-31-9-billion-which-constitutes-61-3-of-the-gdp,43914,44086,yes,yes,yes,yes,no,Rejected pair: genuine claim is truncated mid-sentence.,False,False,True,False,2,5,factors_audit_chunk_01_completed.csv
politifact_177,PolitiFact,genuine,Says women care most about jobs and the economy,genuine,true,True,['macroeconomy'],9,True,1,1.0,25,2012-08-29T00:00:00,https://www.politifact.com/factchecks/2012/aug/29/pam-bondi/pam-bondi-says-women-care-most-about-jobs-and-econ/,68121,70621,yes,yes,yes,yes,no,"Rejected pair: both claims are understandable, but the 25-word length gap is too large for the matched design.",False,False,True,False,2,6,factors_audit_chunk_01_completed.csv
politifact_177,PolitiFact,misleading,"Says Scott Walker said ""Labor unions don't deserve to have a national holiday"" due to their damage to the economy. And the holiday ""should be replaced by Patriots Day, celebrated every year on 9/11.""",misleading,pants-fire,False,['macroeconomy'],34,True,1,1.0,25,2015-09-10T00:00:00,https://www.politifact.com/factchecks/2015/sep/10/facebook-posts/facebook-post-says-scott-walker-wants-end-labor-da/,65138,67631,yes,yes,yes,yes,no,"Rejected pair: both claims are understandable, but the 25-word length gap is too large for the matched design.",False,False,True,False,2,6,factors_audit_chunk_01_completed.csv
grass_fact_check_016,Grass Fact Check,genuine,"""We plan to increase the salaries of rural doctors by 30% from next month as well as the salaries of nurses. We also started building dispensaries and 82 dispensaries will be built by the end of the year.""",genuine,true,True,['employment'],38,True,1,1.0,22,2014-06-16T00:00:00,https://factcheck.ge/en/story/13422-we-plan-to-increase-the-salaries-of-rural-doctors-by-30-from-next-month-as-well-as-the-salaries-of-nurses-we-also-started-building-dispensaries-and-82-dispensaries-will-be-built-by-the-end-o,43740,43912,yes,yes,no,yes,no,Rejected pair: genuine quotation uses an unidentified first-person speaker and the pair has a 22-word length gap.,False,False,True,False,2,7,factors_audit_chunk_01_completed.csv
grass_fact_check_016,Grass Fact Check,misleading,Georgia is obliged to introduce unemployment benefits before 2021. This is envisioned by the Association Agreement,misleading,lie,False,['employment'],16,True,1,1.0,22,2019-02-18T00:00:00,https://factcheck.ge/en/story/37983-georgia-is-obliged-to-introduce-unemployment-benefits-before-2021-this-is-envisioned-by-the-association-agreement,43711,43883,yes,yes,yes,yes,no,Rejected pair: genuine quotation uses an unidentified first-person speaker and the pair has a 22-word length gap.,False,False,True,False,2,7,factors_audit_chunk_01_completed.csv
snopes_076,Snopes,genuine,"Representative Mick Mulvaney, who was recently selected as the Trump administration's nominee for director of the Office of Management and Budget, one posed the question ""Do we really need government-funded research at all?"" on Facebook.",genuine,true,True,['budget'],35,True,1,1.0,19,2016-12-20T16:53:36,https://www.snopes.com/fact-check/trumps-budget-director-pick-asked-really-need-government-funded-research/,92669,96065,no,yes,yes,yes,no,"Rejected pair: genuine claim is about a Facebook quotation and an office title, not a substantive financial or economic proposition.",False,False,True,False,2,8,factors_audit_chunk_01_completed.csv
snopes_076,Snopes,misleading,Tom Price said that it was 'better for our budget if cancer patients die more quickly.',misleading,false,False,['budget'],16,True,1,1.0,19,2017-03-17T13:37:50,https://www.snopes.com/fact-check/tom-price-cancer-patients/,92266,95651,yes,yes,yes,yes,no,"Rejected pair: genuine claim is about a Facebook quotation and an office title, not a substantive financial or economic proposition.",False,False,True,False,2,8,factors_audit_chunk_01_completed.csv
africa_check_026,Africa Check,genuine,We are dealing with a situation where the amount set aside for repayment of the debt is much higher than all the money that Yatani is putting together for development expenditure.,genuine,correct,True,['debt'],31,True,1,1.0,15,2020-07-08T00:00:00,https://africacheck.org/fact-checks/reports/its-crisis-fact-checking-top-opposition-leaders-claims-about-kenyas-2020-budget,17567,15605,yes,yes,yes,yes,no,"Rejected pair: misleading row is written as a correction ('19%, not 67%') and its sentence meaning conflicts with the misleading label.",False,False,True,False,2,9,factors_audit_chunk_01_completed.csv
africa_check_026,Africa Check,misleading,"Chinese money accounts for 19% of Kenya's external debt, not 67% as Voice of America reported",misleading,false,False,['debt'],16,True,1,1.0,15,2022-01-19T00:00:00,https://africacheck.org/fact-checks/spotchecks/chinese-money-accounts-19-kenyas-external-debt-not-67-voice-america-reported,19041,17110,yes,no,yes,no,no,"Rejected pair: misleading row is written as a correction ('19%, not 67%') and its sentence meaning conflicts with the misleading label.",False,False,True,False,2,9,factors_audit_chunk_01_completed.csv
politifact_175,PolitiFact,genuine,"Says she ""called for addressing risks of derivatives, cracking down on subprime mortgages and improving financial oversight"" early on in the financial crisis.",genuine,true,True,['interest_mortgage'],23,True,1,1.0,13,2015-07-15T00:00:00,https://www.politifact.com/factchecks/2015/jul/15/hillary-clinton/hillary-clinton-says-she-called-wall-street-regula/,65258,67751,yes,yes,no,yes,no,"Rejected pair: genuine row uses 'she' without identifying the person, so it is not standalone.",False,False,True,False,2,11,factors_audit_chunk_01_completed.csv
politifact_175,PolitiFact,misleading,"Donald Trump ""pays off mortgage of killed NYPD officer's family.""",misleading,false,False,['interest_mortgage'],10,True,1,1.0,13,2024-04-12T00:00:00,https://www.politifact.com/factchecks/2024/apr/12/facebook-posts/no-evidence-that-donald-trump-paid-off-mortgage-fo/,78085,80812,yes,yes,yes,yes,no,"Rejected pair: genuine row uses 'she' without identifying the person, so it is not standalone.",False,False,True,False,2,11,factors_audit_chunk_01_completed.csv
snopes_003,Snopes,genuine,U.S. President Joe Biden accurately claimed in June 2024 that the U.S. trade deficit with China had reached its lowest level since 2010.,genuine,true,True,"['deficit', 'trade']",23,True,2,1.0,13,2024-07-01T22:42:03,https://www.snopes.com/fact-check/us-trade-deficit-with-china-smallest-since-2010/,81097,84088,yes,yes,yes,no,no,"Rejected pair: genuine row contains the verdict cue 'accurately claimed', creating editorial/label framing.",False,False,True,False,2,12,factors_audit_chunk_01_completed.csv
snopes_003,Snopes,misleading,The U.S. has a global trade deficit of $800 billion.,misleading,false,False,"['deficit', 'trade']",10,True,2,1.0,13,2018-03-09T08:20:10,https://www.snopes.com/fact-check/is-the-u-s-global-trade-deficit-really-800-billion/,90927,94289,yes,yes,yes,yes,no,"Rejected pair: genuine row contains the verdict cue 'accurately claimed', creating editorial/label framing.",False,False,True,False,2,12,factors_audit_chunk_01_completed.csv
snopes_073,Snopes,genuine,"In early 2024, viral social media posts shared an authentic photograph of former U.S. President Bill Clinton standing before a chart titled ""America: Debt Free by 2013.""",genuine,true,True,['debt'],27,True,1,1.0,12,2024-03-14T18:52:51,https://www.snopes.com/fact-check/clinton-america-debt-free-by-2013/,81654,84670,no,yes,yes,yes,no,Rejected pair: genuine row is primarily an image-authenticity claim; debt is only content inside the pictured chart.,False,False,True,False,2,15,factors_audit_chunk_01_completed.csv
