matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file,claim_normalised_check,exact_liar2_overlap_check
politifact_176,PolitiFact,genuine,"Obama promised to cut the deficit by half by the end of his first term but he ""hasn't even come close.""",genuine,true,True,['deficit'],21,True,1,1.0,14,2012-05-17T00:00:00,https://www.politifact.com/factchecks/2012/may/17/crossroads-gps/crossroads-gps-ad-says-obama-failed-keep-pledge-ha/,70511,73012,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,10,factors_audit_chunk_01_completed.csv,obama promised to cut the deficit by half by the end of his first term but he hasn t even come close,False
politifact_176,PolitiFact,misleading,"Says President Obama has ""doubled"" the deficit.",misleading,false,False,['deficit'],7,True,1,1.0,14,2012-10-05T00:00:00,https://www.politifact.com/factchecks/2012/oct/05/mitt-romney/mitt-romney-says-barack-obama-has-doubled-deficit/,70798,73299,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,10,factors_audit_chunk_01_completed.csv,says president obama has doubled the deficit,False
snopes_075,Snopes,genuine,"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.""",genuine,true,True,['macroeconomy'],25,True,1,1.0,13,2018-06-13T12:11:48,https://www.snopes.com/fact-check/bill-maher-recession-get-rid-trump/,90524,93876,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,13,factors_audit_chunk_01_completed.csv,comedian and talk show host bill maher said he hopes an economic recession will occur because it s a way to get rid of president trump,False
snopes_075,Snopes,misleading,The White House changed the definition of what constitutes an economic recession.,misleading,false,False,['macroeconomy'],12,True,1,1.0,13,2022-07-28T16:01:35,https://www.snopes.com/fact-check/white-house-definition-recession/,84750,87872,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,13,factors_audit_chunk_01_completed.csv,the white house changed the definition of what constitutes an economic recession,False
politifact_014,PolitiFact,genuine,"Says ""half the Americans don't pay any income taxes.""",genuine,true,True,"['tax', 'income']",9,True,2,1.0,12,2012-02-29T00:00:00,https://www.politifact.com/factchecks/2012/feb/29/scott-garrett/congressman-scott-garrett-claims-half-all-american/,68793,71294,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,14,factors_audit_chunk_01_completed.csv,says half the americans don t pay any income taxes,False
politifact_014,PolitiFact,misleading,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",misleading,false,False,"['tax', 'income']",21,True,2,1.0,12,2012-11-15T00:00:00,https://www.politifact.com/factchecks/2012/nov/15/mike-white/obamas-re-election-federal-and-state-rates-wiscons/,70881,73382,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,14,factors_audit_chunk_01_completed.csv,says that with president obama s re election state and federal income tax rates for some taxpayers will rise to roughly 65 percent,False
grass_fact_check_015,Grass Fact Check,genuine,"""Average annual inflation constituted 8.4% under the governance of the United National Movement whilst the figure under the Georgian Dream's governance is 6%.""",genuine,true,True,['inflation'],23,True,1,1.0,11,2024-03-25T00:00:00,https://factcheck.ge/en/story/42705--average-annual-inflation-constituted-8-4-under-the-governance-of-the-united-national-movement-whilst-the-figure-under-the-georgian-dream-s-governance-is-6,44462,44639,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,17,factors_audit_chunk_01_completed.csv,average annual inflation constituted 8 4 under the governance of the united national movement whilst the figure under the georgian dream s governance is 6,False
grass_fact_check_015,Grass Fact Check,misleading,"""Another problem is the price increase, inflation… According to only the latest documents, prices for practically everything rose by an average of 20-25%. Prices of some products reveal as much as a 200% increase.""",misleading,false,False,['inflation'],34,True,1,1.0,11,2014-05-08T00:00:00,https://factcheck.ge/en/story/12669-another-problem-is-the-price-increase-inflation-according-to-only-the-latest-documents-prices-for-practically-everything-rose-by-an-average-of-20-25-prices-of-some-products-reveal,43725,43897,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,17,factors_audit_chunk_01_completed.csv,another problem is the price increase inflation according to only the latest documents prices for practically everything rose by an average of 20 25 prices of some products reveal as much as a 200 increase,False
grass_fact_check_026,Grass Fact Check,genuine,"Of the GEL 345 million increase in the 2019 state budget, GEL 145 million is debt",genuine,true,True,"['budget', 'debt']",16,False,0,0.0,1,2018-12-05T00:00:00,https://factcheck.ge/en/story/37715-of-the-gel-345-million-increase-in-the-2019-state-budget-gel-145-million-is-debt#439,43867,44039,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,22,factors_audit_chunk_01_completed.csv,of the gel 345 million increase in the 2019 state budget gel 145 million is debt,False
grass_fact_check_026,Grass Fact Check,misleading,Interest rates under the previous government were at 21% and they have been decreased three-fold,misleading,false,False,['interest_mortgage'],15,False,0,0.0,1,2019-06-30T00:00:00,https://factcheck.ge/en/story/38136-interest-rates-under-the-previous-government-were-at-21-and-they-have-been-decreased-three-fold,43672,43844,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,22,factors_audit_chunk_01_completed.csv,interest rates under the previous government were at 21 and they have been decreased three fold,False
