claimID,claim,label,claimURL,reason,categories,speaker,checker,tags,article title,publish date,climate,entities,original_split,claim_normalised,categories_list,tags_list,category_text,tag_text,metadata_text,word_count,factcheck_domain,finance_metadata_match
snes-05436,"McDonald's is getting rid of its ""Dollar Menu"" come 2016.",mostly false,https://www.snopes.com/fact-check/mcdonalds-getting-rid-dollar-menu/,,Business,,Kim LaCapria,,McDonald’s Getting Rid of the Dollar Menu?,29 December 2015,,['None'],train,mcdonald s is getting rid of its dollar menu come 2016,['Business'],[],Business,,business | ,10,www.snopes.com,True
snes-06041,A Huntley and Palmers biscuit tin included risqué images on its lid.,true,https://www.snopes.com/fact-check/cookie-nookie/,,Business,,David Mikkelson,,Risqué Images on Biscuit Tin,17 January 2009,,['None'],train,a huntley and palmers biscuit tin included risqué images on its lid,['Business'],[],Business,,business | ,12,www.snopes.com,True
tron-02685,Obama’s tax proposals,mostly fiction!,https://www.truthorfiction.com/taxes-election/,,money-financial,,,,Obama’s tax proposals,"Mar 17, 2015",,['None'],train,obama s tax proposals,['money-financial'],[],money-financial,,money-financial | ,3,www.truthorfiction.com,True
para-00013,"Let’s face it, we’ve had the five biggest deficits in Australian history from Wayne Swan’s five budgets.",mostly false,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/23/tony-abbott/abbott-says-swan-delivered-five-biggest-deficits-e/index.html,,"['Budget', 'Debt', 'Economy']",Tony Abbott,"Michael Koziol, Peter Fray",,Abbott says Wayne Swan delivered five biggest deficits ever,"Wednesday, October 23, 2013 at 8:18 p.m.",,['Australia'],train,let s face it we ve had the five biggest deficits in australian history from wayne swan s five budgets,"['Budget', 'Debt', 'Economy']",[],Budget | Debt | Economy,,budget | debt | economy | ,17,pandora.nla.gov.au,True
snes-06360,"AriZona changed its ""Southern Style Sweet Tea"" label after consumers complained that it depicted offensive images.",true,https://www.snopes.com/fact-check/label-unable/,,Business,,David Mikkelson,,AriZona Sweet Tea Label,25 March 2008,,['None'],train,arizona changed its southern style sweet tea label after consumers complained that it depicted offensive images,['Business'],[],Business,,business | ,16,www.snopes.com,True
abbc-00328,The claim: Andrew McKellar says the average motorist will pay somewhere in the region of $140 extra a year with an increase in the fuel tax excise from November 10.,in-between,http://www.abc.net.au/news/2014-11-10/cost-of-the-fuel-tax-indexation-exaggerated-fact-check/5853830,The claim: Andrew McKellar says the average motorist will pay somewhere in the region of $140 extra a year with an increase in the fuel tax excise from November 10.,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",,,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",Fact check: How much will the fuel tax hike leave you out of pocket?,"Sun 8 May 2016, 8:08am",,['None'],train,the claim andrew mckellar says the average motorist will pay somewhere in the region of 140 extra a year with an increase in the fuel tax excise from november 10,"['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']","['tax', 'government-and-politics', 'business-economics-and-finance', 'federal-government', 'liberals', 'australia']",tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia | tax | government-and-politics | business-economics-and-finance | federal-government | liberals | australia,30,www.abc.net.au,True
para-00117,"The Labor government is ""already a lower taxing government"" than the previous Coalition government.",mostly true,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/10/penny-wong/labor-taxes-lower-costellos/index.html,,"['Economy', 'Tax']",Penny Wong,"Alix Piatek, David Humphries",,We're lower taxing than Howard and Costello: Wong,"Wednesday, July 10, 2013 at 11:22 a.m.",,"['Coalition_(Australia)', 'Australian_Labor_Party']",train,the labor government is already a lower taxing government than the previous coalition government,"['Economy', 'Tax']",[],Economy | Tax,,economy | tax | ,14,pandora.nla.gov.au,True
snes-05724,'Secret lists' reveal price tag coding at Target and Costco stores.,mixture,https://www.snopes.com/fact-check/big-store-price-codes/,,Business,,David Mikkelson,,Big Store Price Codes,8 January 2014,,"['Costco', 'Target_Corporation']",train,secret lists reveal price tag coding at target and costco stores,['Business'],[],Business,,business | ,11,www.snopes.com,True
para-00059,"Labor website is ""a snapshot of the cuts we know Tony Abbott plans to make should he be elected"".",mostly false,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/23/penny-wong/cuts-costs-and-con-jobs-another-day-election-2013/index.html,,"['Campaign ads', 'Cost of living', 'Economy', 'Education', 'Employment', 'Health', 'Industrial relations']",Penny Wong,"Peter Martin, Peter Fray",,"Cuts, costs and con-jobs: another day in election 2013","Friday, August 23, 2013 at 12:54 p.m.",,['Tony_Abbott'],train,labor website is a snapshot of the cuts we know tony abbott plans to make should he be elected,"['Campaign ads', 'Cost of living', 'Economy', 'Education', 'Employment', 'Health', 'Industrial relations']",[],Campaign ads | Cost of living | Economy | Education | Employment | Health | Industrial relations,,campaign ads | cost of living | economy | education | employment | health | industrial relations | ,19,pandora.nla.gov.au,True
snes-00680,"A Kentucky business owner found out he had been paying the electric bills of an Ohio River bridge, in addition to his own, for five months.",true,https://www.snopes.com/fact-check/pay-bridge-electrical-bill/,,Business,,Alex Kasprak,,Did a Man Discover He Was Paying a Bridge’s Electric Bill?,1 May 2018,,"['Ohio_River', 'Kentucky']",train,a kentucky business owner found out he had been paying the electric bills of an ohio river bridge in addition to his own for five months,['Business'],[],Business,,business | ,26,www.snopes.com,True
