matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes
snopes_021,Snopes,genuine,Seattle has imposed an excise tax on the distributors of sweetened drinks.,genuine,true,true,['tax'],12,True,1,1.0,0,2018-01-06T12:17:22,https://www.snopes.com/fact-check/seattle-tax-sweetened-drinks/,91207,94578,,,,,,
snopes_021,Snopes,misleading,"Eric Trump said his father planned to ""cancel"" taxes on wealthy people.",misleading,false,false,['tax'],12,True,1,1.0,0,2017-04-17T15:14:12,https://www.snopes.com/fact-check/eric-trump-cancel-taxes-wealthy/,92147,95532,,,,,,
politifact_043,PolitiFact,genuine,"""The major immigration issue was about Poles, and Bulgarians, and Romanians,"" and that they weren't contributing economically. ""The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.""",genuine,true,true,['employment'],32,True,1,1.0,0,2016-06-26T00:00:00,https://www.politifact.com/factchecks/2016/jun/26/david-miliband/david-miliband-link-between-jobs-immigration-and-b/,64439,66928,,,,,,
politifact_043,PolitiFact,misleading,"""When I was campaigning, I was talking about 18 and 20 years wages effectively went down. Now, for the first time in a long time, they're starting to go up for people.""",misleading,false,false,['employment'],32,True,1,1.0,0,2018-03-09T00:00:00,https://www.politifact.com/factchecks/2018/mar/09/donald-trump/donald-trump-wrong-about-wage-trends/,63001,65477,,,,,,
africa_check_001,Africa Check,genuine,Agriculture has made the largest contribution… to the improved growth of our economy in the second and third quarters of 2017.,genuine,correct,true,['macroeconomy'],21,True,1,1.0,0,2018-02-16T00:00:00,https://africacheck.org/fact-checks/reports/fact-checked-pres-cyril-ramaphosas-first-ever-state-nation-address,16074,14077,,,,,,
africa_check_001,Africa Check,misleading,Are most estimates of what strikes cost the SA economy accurate? Probably not. Take them with a big pinch of salt,misleading,fake,false,['macroeconomy'],21,True,1,1.0,0,2013-09-18T00:00:00,https://africacheck.org/fact-checks/reports/are-most-estimates-what-strikes-cost-sa-economy-accurate-probably-not-take-them,15471,13471,,,,,,
politifact_182,PolitiFact,genuine,"""If you are a member of union, your median weekly income is roughly $200 more than if you are a nonunion member, and that doesn't include benefits.""",genuine,true,true,['income'],27,True,1,0.5,0,2016-06-29T00:00:00,https://www.politifact.com/factchecks/2016/jun/29/thomas-perez/tom-perez-says-union-members-earn-median-200-week-/,72573,75080,,,,,,
politifact_182,PolitiFact,misleading,"Says ""the governor is going around the state talking about we should fund an income tax cut"" that benefits higher income earners and not lower income earners",misleading,false,false,"['tax', 'income']",27,True,1,0.5,0,2012-09-24T00:00:00,https://www.politifact.com/factchecks/2012/sep/24/john-burzichelli/ohn-burzichelli-says-chris-christie-promoting-tax-/,70764,73265,,,,,,
politifact_057,PolitiFact,genuine,"Says ""a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.""",genuine,true,true,['tax'],17,True,1,1.0,0,2013-04-15T00:00:00,https://www.politifact.com/factchecks/2013/apr/15/nancy-nathanson/would-pack-day-smoker-save-1650-year-if-they-quit-/,67475,69973,,,,,,
politifact_057,PolitiFact,misleading,"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",misleading,pants-fire,false,['tax'],17,True,1,1.0,0,2012-07-27T00:00:00,https://www.politifact.com/factchecks/2012/jul/27/jeff-wentworth/jeff-wentworth-says-donna-campbell-pushing-35-perc/,70647,73148,,,,,,
snopes_073,Snopes,genuine,"In early 2024, viral social media posts shared an authentic photograph of former U.S. President Bill Clinton standing before a chart titled ""America: Debt Free by 2013.""",genuine,true,true,['debt'],27,True,1,1.0,12,2024-03-14T18:52:51,https://www.snopes.com/fact-check/clinton-america-debt-free-by-2013/,81654,84670,,,,,,
snopes_073,Snopes,misleading,Consumers are not obligated to pay back debt that creditors have written off and sold.,misleading,false,false,['debt'],15,True,1,1.0,12,2017-06-02T14:54:51,https://www.snopes.com/fact-check/paying-sold-debt/,91947,95325,,,,,,
politifact_016,PolitiFact,genuine,"Government shutdowns in 2013 and 2018 ""cost our economy billions of dollars each.""",genuine,true,true,['macroeconomy'],13,True,1,1.0,0,2024-12-19T00:00:00,https://www.politifact.com/factchecks/2024/dec/19/sara-jacobs/fact-check-past-government-shutdowns-cost-billions/,58330,60562,,,,,,
politifact_016,PolitiFact,misleading,"Says Hillary Clinton's energy agenda ""will cost the U.S. economy over $5 trillion""",misleading,false,false,['macroeconomy'],13,True,1,1.0,0,2016-09-27T00:00:00,https://www.politifact.com/factchecks/2016/sep/27/donald-trump/donald-trumps-false-clinton-energy-plan/,72752,75260,,,,,,
