id,statement,subject,binary_label,binary_label_name,speaker,date,context,original_split,word_count,financially_relevant,standalone_claim,audit_notes
3135,"Gov. Rick Scott's sale of the state planes was ""not proper.",legal issues;state budget,1,genuine,j.d. alexander,"February 23, 2011",comments at the Senate Budget Committee,train,11,,,
15485,There is nothing that we have done on Amazon that we have not done with hundreds of other projects.,corporations;taxes,1,genuine,andrew cuomo,"November 19, 2018",a radio interview,train,19,,,
4851,Says the state tax burden per citizen in New York is twice as high as in Florida.,economy;taxes,1,genuine,rick scott,"January 10, 2012",State of the State address,test,17,,,
4931,"When I was speaker, we had four consecutive balanced budgets.",federal budget;history,0,misleading,newt gingrich,"January 23, 2012",Tampa,valid,10,,,
12291,"Hillary Clinton wants to shut down family farms"" using ""radical regulation,"" by raising business tax ""rates as high as nearly 50 percent"" and by taxing ""family farms again at death by as much as 45 percent.",agriculture;economy;government regulation;wealth;taxes,0,misleading,donald trump,"August 27, 2016",a speech,train,36,,,
6212,"Says Gov. Chris Christie has embarked on a tour to ""demand that New Jersey's Democratic legislature approve an immediate tax cut that would disproportionately benefit the wealthiest.",taxes,0,misleading,barbara buono,"August 27, 2012",Politico,valid,27,,,
4375,Say the ratio of CEO pay to average worker pay in the U.S. is 475 to 1.,corporations;economy;labor;occupy wall street;workers,0,misleading,facebook posts,"October 10, 2011","postings on Facebook, blogs, and social-media sites",train,17,,,
19118,"It wasn't all women that lost jobs (in the December jobs report), it was mostly Black and Latina women. In fact, white women gained employment.",economy;jobs;women,1,genuine,sarah godlewski,"January 9, 2021",Twitter,train,25,,,
3340,"Says the Southwest Florida Water Management District has $850 million in reserves, enough money in savings to run without levying taxes for more than two years.",water;taxes,0,misleading,j.d. alexander,"March 28, 2011",comments to reporters,valid,26,,,
3710,The (national) debt really added up $75 trillion in 2010 and is on track to hit $99 trillion this year.,deficit;federal budget;medicare;social security,0,misleading,scott rigell,"June 3, 2011",a newsletter,train,20,,,
3765,This is the slowest job recovery since Hoover.,economy;history;jobs,0,misleading,mitt romney,"June 16, 2011",an appearance at a Tampa coffee shop,train,8,,,
3388,"﻿Says JoAnne Kloppenburg's side had a ""3-to-1 money advantage"" in the Wisconsin Supreme Court campaign.",campaign finance,0,misleading,charlie sykes,"April 6, 2011",comments made during his radio show,train,15,,,
13654,More Texans have jobs today than ever before in the history of our state.,economy;jobs,1,genuine,greg abbott,"July 14, 2017",his speech kicking off his re-election campaign,train,14,,,
1353,"Vice President Joe Biden's meeting ""with the transparency and accountability board . . . was closed to the public.",economy;stimulus;transparency,0,misleading,sarah palin,"February 6, 2010",a speech to members of the Tea Party,valid,19,,,
7494,"Says 97 percent of food stamp benefits ""are paid in the proper amounts to people who are really eligible.",agriculture;poverty,1,genuine,pete gallego,"May 15, 2013",a U.S. House committee meeting,test,19,,,
9638,"As a result of Obamacare, ""California seniors face benefit cuts of over $1,700.",federal budget;health care;medicare;message machine 2014,0,misleading,american crossroads,"October 28, 2014",a campaign ad,valid,13,,,
5223,Says there are four super PACs on the Republican side of the Texas U.S. Senate race.,campaign finance,1,genuine,paul sadler,"March 1, 2012",a Travis County Democratic Party candidate forum,train,16,,,
9566,I was speaking out on pension reform almost 17 years ago.,candidate biography;debt;deficit;economy;history;labor;government regulation;pensions;retirement;state budget;unions;wealth;workers;taxes,1,genuine,ernest almonte,"October 5, 2014","an interview on WLNE's ""On the Record""",train,11,,,
10945,"The Democrats plan ""to raise your tax rates to 70 or 80 percent.",taxes,0,misleading,chris christie,"November 10, 2015",the fourth GOP undercard debate,train,13,,,
4112,Our credit rating went up since I've been in office.,corrections and updates;financial regulation,0,misleading,rick scott,"August 11, 2011",an interview with Panama City radio station WFLA 94.5,train,10,,,
7671,"On average, college students ""are taking six years to get a four-year degree.",debt;education;jobs,1,genuine,ron johnson,"July 17, 2013",an interview,train,13,,,
2068,The state budget has gone up over 80 percent under Rick Perry.,state budget,1,genuine,bill white,"August 9, 2010",a TV interview,train,12,,,
16854,"Congress rejects $336 (per) month increase in"" Social Security and disability benefits ""but approves $8,872 (per) month increase for themselves.",congress;income;social security;facebook fact-checks,0,misleading,facebook posts,"December 2, 2019",a Facebook post,train,20,,,
13111,"Says he presented ""a balanced budget.",state budget,0,misleading,bruce rauner,"February 15, 2017",the annual budget speech,train,6,,,
10479,"For African-Americans between the ages of 17 and 20, ""the real unemployment rate … is 51 percent.",economy;jobs;race and ethnicity,1,genuine,bernie sanders,"July 6, 2015","Portland, Maine",train,17,,,
4329,Florida is the first state requiring drug testing to receive welfare!,drugs;poverty,0,misleading,chain email,"September 24, 2011",a chain e-mail,train,11,,,
5776,Congressman Renacci is under FBI investigation.,campaign finance;ethics,0,misleading,democratic congressional campaign committee,"June 1, 2012",a news release,train,6,,,
8280,"Obama unilaterally announced he was delaying employer mandate ""through a blog post by a mid-level bureaucrat at the Department of Treasury.",corrections and updates;health care;legal issues;taxes,1,genuine,ted cruz,"January 10, 2014",a speech at a Texas Public Policy Foundation forum,train,21,,,
5488,After four years of a celebrity president … 85% (of recent college grads are) moving back in with their parents.,jobs;message machine 2012,0,misleading,american crossroads,"April 26, 2012",a campaign ad,train,20,,,
14600,"By 2022, just the interest payment on our debt will be greater than the defense of our country.",debt,1,genuine,joe manchin,"May 9, 2018",an interview with Hoppy Kercheval,valid,18,,,
1571,"The bill reported out of committee sets up a $50 billion slush fund that, while intended for resolving failing firms, is available for virtually any purpose that the treasury secretary sees fit.",bankruptcy;corporations;economy;federal budget;financial regulation;taxes,0,misleading,richard shelby,"March 25, 2010",a letter to Treasury Secretary Timothy Geithner,test,32,,,
2308,"Says John Boehner ""admits 'we are not going to be any different than we've been' "" by returning to ""the same failed economic policies"" that ""wrecked our economy.",economy,0,misleading,nancy pelosi,"September 23, 2010",a blog post,valid,28,,,
9834,The average family not in the top 10 percent makes less money today than they were making a generation ago.,economy;income;jobs;labor,1,genuine,elizabeth warren,"January 7, 2015",a speech at the AFL-CIO National Summit on Raising Wages,train,20,,,
3053,A 5-cent charge on paper bags is a tax.,environment;taxes,0,misleading,mark daniels,"February 8, 2011",a legislative hearing,valid,9,,,
4468,"Says 24 million people in this country ""can't find a full-time job,"" 50 million ""can't see a doctor when they're sick,"" 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.",economy,1,genuine,alan grayson,"October 7, 2011","appearance on Bill Maher show on Oct. 7, 2011",train,42,,,
4074,"The Northwest Corridor highway project in Cobb and Cherokee counties ""is expected to create over 9,700 jobs statewide.",jobs,0,misleading,georgia department of transportation,"July 19, 2011",a press release,train,18,,,
516,"When he was asked a few years ago whether he could see himself lifting the cap on the payroll tax, (McCain) said, 'I could.' But today he's attacking me for holding the very same position.",medicare;social security,1,genuine,barack obama,"June 13, 2008","Columbus, Ohio",train,35,,,
4888,"Gov. Bob McDonnell's budget plan takes ""money out of our classrooms to pave roads.",education;state budget,1,genuine,donald mceachin,"January 11, 2012",a speech,train,14,,,
15859,President Trump's wall costs less than the ObamaCare website.,federal budget;facebook fact-checks,0,misleading,facebook posts,"March 20, 2019",posts online,train,9,,,
10889,"Under Barack Obama and the big government economy, the median wage for women has dropped $733.",economy;jobs;women,0,misleading,ted cruz,"October 28, 2015","Boulder, Colo",train,16,,,
16583,"Ohio, Michigan, and Pennsylvania actually in the latest jobs data have lost jobs, not gained them.",economy;jobs;pennsylvania,0,misleading,julián castro,"October 15, 2019",a debate,train,16,,,
7998,"Terry McAuliffe ""wants to raise your taxes $1,700 to pay for his infinite promises.",education;state budget;taxes,0,misleading,ken cuccinelli,"October 24, 2013",a debate,train,14,,,
15523,"Says troops recently received ""one of the biggest pay raises"" ever, and that it was the first pay increase in ""more than 10 years.",federal budget;military,0,misleading,donald trump,"December 26, 2018",remarks to U.S. troops,train,24,,,
2809,"When Social Security was passed, there were all kinds of lawsuits,"" just as there have been in the legal battle over the new health care law.",health care;history;legal issues;social security,1,genuine,barack obama,"December 13, 2010",a television interview,train,26,,,
11511,"It was (Rob Portman's) job to stop China's illegal dumping of steel. He failed, looked the other way, did nothing.",china;trade,0,misleading,ted strickland,"March 17, 2016","campaign ad, ""Beltway Rob""",train,20,,,
21737,'The White House is now trying to protect Joe Biden by changing the definition of the word recession.',economy,0,misleading,instagram posts,"July 25, 2022",social media posts,train,18,,,
3692,Manufacturing is having its best employment year in almost 15 years.,economy;history;this week - abc news,1,genuine,austan goolsbee,"June 5, 2011","an interview on ABC's ""This Week with Christiane Amanpour""",train,11,,,
3131,"The five states that outlaw collective bargaining for teachers all rank below 44th in the nation in test scores, while Wisconsin ranks 2nd.",education;labor;workers,0,misleading,democratic party of wisconsin,"February 21, 2011",a Facebook post,train,23,,,
8797,Says U.S. Senate candidate David Perdue flip-flopped on releasing his tax returns.,taxes,1,genuine,karen handel,"April 21, 2014",a press release,train,12,,,
9004,"When asked by a reporter whether he's at the center of a ""criminal scheme"" to violate campaign laws, Gov. Scott Walker nodded yes.",campaign finance;legal issues;negative campaigning,0,misleading,democratic party of wisconsin,"June 24, 2014",a web video,train,23,,,
3120,"Hitler ""abolished unions and that's what"" Wisconsin Gov. Scott Walker is ""doing today.",labor;state budget,0,misleading,lena taylor,"February 15, 2011","a TV interview, as well as other venues",train,13,,,
8344,25% of human trafficking victims are located in Texas.,labor;crime,0,misleading,john cornyn,"January 10, 2014",an online commentary,valid,9,,,
14259,If the Dow Joans ever falls more than 1000 'points' in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!,economy;fake news;punditfact,0,misleading,tweets,"February 5, 2018",a tweet attributed to @realdonaldtrump,test,35,,,
4781,"Our tax code is . . . 80,000 pages.",economy;government regulation;taxes,0,misleading,barry hinckley,"December 4, 2011","an appearance on WPRI's ""Newsmakers"" program",valid,9,,,
6185,Says President Barack Obama broke his promise to keep a Wisconsin GM plant from closing.,jobs,0,misleading,paul ryan,"August 29, 2012",Tampa,train,15,,,
4764,Says Oregon canned blueberries will be cheaper in South Korea thanks to a trade agreement.,trade,1,genuine,ron wyden,"December 12, 2011",a speech,train,15,,,
3443,"Every time we've cut taxes, revenues have gone up, the economy has grown.",economy;federal budget;this week - abc news;taxes,0,misleading,joe walsh,"April 17, 2011","an interview on ""This Week with Christiane Amanpour""",train,13,,,
7702,We now sell more products made in America to the rest of the world than ever before.,corrections and updates;trade,1,genuine,barack obama,"August 6, 2013",a speech on homeownership,train,17,,,
5056,"Maryland is ""creating jobs at 2 ½ times the rate that Virginia is.",economy;jobs,0,misleading,martin o'malley,"February 5, 2012",a TV interview,test,13,,,
3149,"Under former President George W. Bush's administration ""while the population in that period grew by 10 percent, the number of jobs in the nation grew by 1 percent.",bush administration;economy;jobs;labor,1,genuine,tim kaine,"February 19, 2011",a speech at the Jefferson-Jackson dinner,train,28,,,
4682,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.,deficit;federal budget;military,1,genuine,alan simpson,"November 18, 2011",a speech at the City Club of Cleveland,train,19,,,
7371,"New Jersey's governor cut $1.6 billion from public education while handing out $2.1 billion in corporate tax breaks, more than the entire previous decade.",corporations;education;state budget,1,genuine,afl-cio of new jersey,"April 30, 2013",a Facebook page post,train,24,,,
17718,"Under three years of my administration, net farm income has already gone up nearly 50%.",agriculture;economy;iowa,1,genuine,donald trump,"January 30, 2020",Des Moines,train,15,,,
12064,"I am the only candidate who ran in either primary who said, 'I will not raise taxes on the middle class.'",taxes,0,misleading,hillary clinton,"July 14, 2016",a speech,train,21,,,
13912,"The state and local tax deduction is a major benefit for moderate-income households because ""50% of households that claim State & Local Tax deduction make under $100K.",taxes,1,genuine,nancy pelosi,"October 12, 2017",a tweet,train,27,,,
2697,"More than 10 years of free trade ""has brought a $2 billion per day trade deficit.",economy;trade,1,genuine,sherrod brown,"November 11, 2010",a news release,train,16,,,
6344,"Says ""the governor is going around the state talking about [how] we should fund an income tax cut"" that benefits higher income earners and not lower income earners",state budget;taxes,0,misleading,john burzichelli,"September 19, 2012",an interview with NJToday,train,28,,,
11620,"Pennsylvania has lost 35 percent of its manufacturing jobs since 2001"" and ""Harrisburg has lost 40 percent of its manufacturing jobs since 2001.",jobs,1,genuine,donald trump,"April 21, 2016",a campaign rally speech,valid,23,,,
14554,"Says Mitt Romney is using ""a million of his presidential campaign dollars to finance his Utah Senate race.",campaign finance,1,genuine,jenny wilson,"April 20, 2018",a press release,train,18,,,
5335,More children die in agricultural jobs than in any other industry.,children;labor,1,genuine,rashad taylor,"March 20, 2012",a speech,train,11,,,
9656,"Among the developed nations, we are the least economically and socially mobile country in the world.",economy;income;labor,1,genuine,jeb bush,"October 27, 2014",a fundraising letter,train,16,,,
19184,"Says Joe Biden canceled the Keystone pipeline because Warren Buffett ""donated $58 million"" to his campaign.",campaign finance;energy;facebook fact-checks,0,misleading,facebook posts,"January 27, 2021",a Facebook post,train,16,,,
1425,Washington cannot hide from the fact that Congress hiked the national debt ceiling to $14.3 trillion. They cannot hide from the fact . . . that the budget that they're going forward with has more than a $5 trillion in debt in it over the next five years.,federal budget,1,genuine,rick perry,"March 2, 2010",a speech,train,48,,,
574,Obama will charge a 28 percent tax on all home sales.,taxes,0,misleading,chain email,"July 22, 2008",a chain e-mail,train,11,,,
2801,"Under the compromise tax agreement, ""99.7% of American families will not pay 1 nickel in an estate tax.",taxes,1,genuine,bernie sanders,"December 13, 2010",a Twitter message,test,18,,,
3981,Says members of the military have sent him more campaign contributions than they've sent President Barack Obama and more than twice what they've sent other Republican presidential candidates.,campaign finance,1,genuine,ron paul,"July 20, 2011",an interview,train,28,,,
3620,"The U.S. has ""47 million people on food stamps. That's 14 million more than when the current occupant of the White House took over.",economy;families,1,genuine,herman cain,"May 21, 2011",a speech announcing his presidential run,train,24,,,
19722,Photos show gas costs nearly $10 in the Carolinas.,gas prices;facebook fact-checks,0,misleading,viral image,"May 11, 2021",a Facebook post,train,9,,,
8811,"Congress used earmarks ""for more than 200 years.",congress;corrections and updates;federal budget,1,genuine,harry reid,"May 6, 2014",a news conference,train,8,,,
10144,"Half of all Americans have less than $10,000 in their savings account.",families;income;pensions;poverty;wealth,1,genuine,bernie sanders,"March 31, 2015",Austin,train,12,,,
2092,"In 1935, more than 50% of the elderly population lived in poverty. Today that poverty rate stands officially at 9.4%.",social security,1,genuine,eddie bernice johnson,"August 10, 2010",a speech on the House floor,test,20,,,
5733,"Giving the facts:  73,000 jobs created ... since '11.  Do you know how many direct jobs in the auto industry?  1,800.",economy;jobs,1,genuine,john kasich,"June 3, 2012","an appearance on NBC's ""Meet the Press.""",train,21,,,
13149,I remember years ago looking at a CBO report that in 1964 predicted that Medicare would cost $9 billion 10 years later. And I think it was already over $100 billion at that point.,congress;federal budget;health care,0,misleading,jack kingston,"March 12, 2017",an interview on CNN,test,34,,,
6472,Repealing and replacing Obamacare – that's going to save $1 trillion over a 10-year period.,debt;health care,0,misleading,george allen,"October 8, 2012",a debate,train,15,,,
14834,"Gov. Bruce Rauner has ""created no jobs over the past three years.",jobs,0,misleading,juliana stratton,"June 28, 2018",a radio interview,test,12,,,
3360,"Says ""some [states] with the largest reductions in crime have also lowered their prison population.",criminal justice;crime;state budget,1,genuine,newt gingrich,"January 7, 2011",an op-ed,test,15,,,
5170,"[R]emember, the president proposed eliminating charitable deductions for higher-income taxpayers.",taxes,0,misleading,rick santorum,"February 19, 2012",a speech,train,10,,,
3677,"The 2009 stimulus bill ""failed to get people back to work.",jobs;stimulus,0,misleading,eric cantor,"May 26, 2011",a news conference,train,11,,,
14479,"This year's state budget ""continues to direct millions in taxpayer dollars in advertising to the failing Start-Up NY program",corrections and updates;economy;jobs;state budget;taxes,0,misleading,brian kolb,"March 31, 2018",a statement on the state budget,train,19,,,
5544,"New Jersey has ""the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.",taxes,1,genuine,lou greenwald,"April 1, 2012","an interview with on NJTV's ""On The Record.""",test,30,,,
8401,"Mark Warner voted for ""nearly $1 trillion in new taxes and $7 trillion in new debt.",debt;federal budget;voting record;taxes,1,genuine,ed gillespie,"January 16, 2014",a web ad,train,16,,,
