split,id,binary_label,binary_label_name,statement_original,statement_cleaned,leading_says_removed
train,6181,1,genuine,Says women care most about jobs and the economy,women care most about jobs and the economy,True
train,6038,1,genuine,"Says Georgia ranks ""near the bottom in per capita transportation spending.","Georgia ranks ""near the bottom in per capita transportation spending.",True
train,5795,0,misleading,"Says New Jersey's job growth in May represents ""25 percent of all the jobs created in the country.","New Jersey's job growth in May represents ""25 percent of all the jobs created in the country.",True
train,3930,0,misleading,Says Texas is the only state that exempts jet fuel from its state motor fuels tax.,Texas is the only state that exempts jet fuel from its state motor fuels tax.,True
train,5983,0,misleading,"Says Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.","Donna Campbell is pushing a 35 percent sales tax extending to medicine, groceries and real estate.",True
train,2389,1,genuine,"Says ""the Texas unemployment rate has even grown more than the nation's as a whole.","""the Texas unemployment rate has even grown more than the nation's as a whole.",True
train,18745,0,misleading,"Says Trump ""didn't campaign on cutting the debt"" … ""That's not what he promised to do.","Trump ""didn't campaign on cutting the debt"" … ""That's not what he promised to do.",True
train,6992,1,genuine,"Says, ""when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement – deficit.",", ""when this governor came to office, he had (an) 11 billion dollar - I call it mismanagement – deficit.",True
train,9243,0,misleading,"Says Marilinda Garcia supports ""$150 billion in new taxes.","Marilinda Garcia supports ""$150 billion in new taxes.",True
train,6719,1,genuine,Says he has never voted for raising taxes.,he has never voted for raising taxes.,True
train,5800,0,misleading,"Says Gov. Chris Christie's proposed budget is ""the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time.","Gov. Chris Christie's proposed budget is ""the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time.",True
train,3234,0,misleading,"Says Charlotte Nash ""pretends to be a chicken farmer"" in order to get property tax exemptions.","Charlotte Nash ""pretends to be a chicken farmer"" in order to get property tax exemptions.",True
train,5124,0,misleading,"Says 21,000 Wisconsin residents got jobs in 2011, but ""18,000 of them"" were in other states.","21,000 Wisconsin residents got jobs in 2011, but ""18,000 of them"" were in other states.",True
train,5964,0,misleading,"Says Barack Obama ""counted on Sandy Adams"" to approve stimulus spending.","Barack Obama ""counted on Sandy Adams"" to approve stimulus spending.",True
train,6994,1,genuine,Says Travis County's unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.,Travis County's unemployment rate is below the national average while its poverty rate exceeds the national average--and local poverty is rising.,True
train,12651,1,genuine,"Says Marco Rubio ""said Social Security and Medicare have 'weakened us as a people.'","Marco Rubio ""said Social Security and Medicare have 'weakened us as a people.'",True
train,4962,0,misleading,Says Steve Jobs was responsible for creating more jobs than the stimulus bill.,Steve Jobs was responsible for creating more jobs than the stimulus bill.,True
train,4451,1,genuine,"Says his proposed payroll tax cut ""will mean an extra $1,500 in your pocket compared to if we do nothing.","his proposed payroll tax cut ""will mean an extra $1,500 in your pocket compared to if we do nothing.",True
train,8070,1,genuine,"Says New Jersey has gained ""143,000 new private-sector jobs.","New Jersey has gained ""143,000 new private-sector jobs.",True
train,6256,1,genuine,"Says President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.","President Barack Obama ""gives students the right to repay (federal) loans as a clear, fixed, low percentage of their income for up to 20 years.",True
train,2643,0,misleading,Says over 25 percent of the Texas budget funds services to non-U.S. citizens.,over 25 percent of the Texas budget funds services to non-U.S. citizens.,True
