claimID,claim,label,binary_label_name,finance_selection_reason,category_text,tag_text,factcheck_domain,original_split,word_count,is_question,reason,claimURL,finance_relevant,label_mapping_valid,standalone_claim,audit_notes
para-00149,We’re one of only six or seven governments around the world which has a triple A credit rating on our public finances.,mostly true,genuine,specific_finance_metadata,Economy,,pandora.nla.gov.au,train,22,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jun/17/kevin-rudd/australia-one-six-or-seven-countries-have-triple-c/index.html,,,,
farg-00156,We lose ... almost all of the lawsuits in the WTO.,false,misleading,specific_finance_metadata,the-factcheck-wire,trade,www.factcheck.org,train,11,False,,https://www.factcheck.org/2017/10/trump-wrong-wto-record/,,,,
tron-02686,Claims about 2015 Tax Rates,fiction!,misleading,specific_finance_metadata,money-financial,,www.truthorfiction.com,train,5,False,,https://www.truthorfiction.com/2015-tax-rates/,,,,
farg-00265,"Claims that ""hundreds of thousands of jobs [would] disappear"" as a result of Hillary Clinton's proposal to raise taxes.",false,misleading,specific_finance_metadata,the-factcheck-wire,2016 TV Ad | jobs,www.factcheck.org,train,19,False,,https://www.factcheck.org/2016/08/trumps-two-americas/,,,,
para-00122,"Despite the GFC, youth unemployment has been lower in the Rudd-Gillard Labor years than under John Howard.",mostly true,genuine,specific_finance_metadata,Employment,,pandora.nla.gov.au,train,17,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/06/kate-ellis/GFC-Youth-Unemployment-lower-Labor-than-Howard/index.html,,,,
snes-06382,"Receipt of special ""closed"" signs by Bank of America signals that U.S. banks will soon be shut down by the government for one week.",false,misleading,generic_business_plus_finance_text,Business,,www.snopes.com,train,24,False,,https://www.snopes.com/fact-check/bank-holiday/,,,,
para-00099,Labor put Australia among the top ten foreign aid givers worldwide.,mostly true,genuine,specific_finance_metadata,Budget,,pandora.nla.gov.au,train,11,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/26/andrew-leigh/how-generous-australia-foreign-aid/index.html,,,,
para-00038,There’s no doubt that the election was a referendum on the carbon tax.,mostly false,misleading,specific_finance_metadata,Carbon Tax | Election,,pandora.nla.gov.au,train,13,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/sep/12/julie-bishop/referendum-carbon-tax-myths-mandates/index.html,,,,
farg-00273,"Claims Mark Zandi, the chief economist at Moody’s Analytics, is ""not a Democrat.""",false,misleading,specific_finance_metadata,the-factcheck-wire,Presidential Election 2016 | economy,www.factcheck.org,train,13,False,,https://www.factcheck.org/2016/08/clinton-plays-partisan-game/,,,,
para-00081,"Australian families are ""all struggling from cost of living pressures"".",false,misleading,specific_finance_metadata,Cost of living | Economy,,pandora.nla.gov.au,train,10,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/08/kevin-rudd/under-pressure-empathise-rudd-calls-big-squeeze/index.html,,,,
para-00108,Japan has become the world’s third largest economy by processing Australian resources.,mostly true,genuine,specific_finance_metadata,Economy | Mining,,pandora.nla.gov.au,train,12,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/17/clive-palmer/did-australian-resources-build-japan/index.html,,,,
para-00051,"The Liberal Party has ""confirmed"" it will ""cut 20,000 jobs"".",false,misleading,specific_finance_metadata,Employment | Industrial relations | Workers rights,,pandora.nla.gov.au,train,10,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/aug/27/kate-lundy/has-liberal-party-confirmed-it-will-cut-20000-jobs/index.html,,,,
thet-00038,There is no evidence that joining the EEC or the single market boosted UK growth so it's difficult to see how leaving will do the opposite.,mostly false,misleading,specific_finance_metadata,Fact check Finance,,theferret.scot,train,26,False,,https://theferret.scot/eu-eec-uk-gdp-growth/,,,,
para-00129,[From July 1] Labor’s carbon tax goes up by 5 per cent.,mostly true,genuine,specific_finance_metadata,Carbon Tax,,pandora.nla.gov.au,train,12,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/jul/01/joe-hockey/hockey-says-carbon-price-goes-5-cent-today/index.html,,,,
tron-01519,Congress Passes $42.4 Billion Consumer Rebate Program,misleading!,misleading,specific_finance_metadata,government,congress | scams | taxes,www.truthorfiction.com,train,7,False,,https://www.truthorfiction.com/congress-passes-42-4-billion-consumer-rebate-program/,,,,
para-00025,"On present trends, Indonesia will be the number four economy in the world by mid-century.",mostly true,genuine,specific_finance_metadata,Economy | Foreign Affairs,,pandora.nla.gov.au,validation,15,False,,http://pandora.nla.gov.au//pan/140601/20131209-1141/www.politifact.com.au/truth-o-meter/statements/2013/oct/01/tony-abbott/indonesia-climbs-economic-ladder/index.html,,,,
