matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file,previous_pair_id,organisation,audit_origin,pre_audited,article_id,binary_label_name,finance_term_count,verdict,claim_normalised,financial_matches_list,financial_match_set,origin_priority,pair_pre_audited_count,automatic_large_length_gap
round2_snopes_018,Snopes,genuine,"Warren Buffett quipped that he could end the deficit by passing ""a law that says anytime there is a deficit of more than 3% of GDP, all sitting members of Congress are ineligible for re-election.",genuine,true,True,"['deficit', 'macroeconomy']",35,False,0,0.0,19,2011-10-23T19:04:24,https://www.snopes.com/fact-check/hometown-buffett/,96393,99851,yes,yes,yes,yes,,Rejected pair: misleading row is primarily a legal/revenge allegation; foreclosure is incidental.,False,False,False,True,4,0,factors_audit_chunk_01_completed.csv,snopes_085,Snopes,round1_individually_valid,yes,,,,,warren buffett quipped that he could end the deficit by passing a law that says anytime there is a deficit of more than 3 of gdp all sitting members of congress are ineligible for re election,"['deficit', 'macroeconomy']","{'macroeconomy', 'deficit'}",0,2,True
round2_snopes_018,Snopes,misleading,Tom Price said that it was 'better for our budget if cancer patients die more quickly.',misleading,false,False,['budget'],16,False,0,0.0,19,2017-03-17T13:37:50,https://www.snopes.com/fact-check/tom-price-cancer-patients/,92266,95651,yes,yes,yes,yes,,"Rejected pair: genuine claim is about a Facebook quotation and an office title, not a substantive financial or economic proposition.",False,False,True,True,4,0,factors_audit_chunk_01_completed.csv,snopes_076,Snopes,round1_individually_valid,yes,,,,,tom price said that it was better for our budget if cancer patients die more quickly,['budget'],{'budget'},0,2,True
round2_africa_check_009,Africa Check,genuine,"""The unemployment rate we now have is at its highest ever.""",genuine,correct,True,['employment'],11,True,1,1.0,2,2022-01-27T00:00:00,https://africacheck.org/fact-checks/reports/highest-ever-unemployment-rate-fact-checking-two-claims-ancs-110th-birthday,19021,17089,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart explicitly reveals that the post came from satire.",False,False,False,False,0,1,factors_audit_chunk_05_completed.csv,africa_check_007,Africa Check,round1_individually_valid,yes,,,,,the unemployment rate we now have is at its highest ever,['employment'],{'employment'},0,1,False
round2_africa_check_009,Africa Check,misleading,"No, South Africa's late Zulu king Zwelithini didn't get a R71.3 million salary",misleading,fake,false,['employment'],13,True,1,1.0,2,2021-03-25T00:00:00,https://africacheck.org/fact-checks/spotchecks/no-south-africas-late-zulu-king-zwelithini-didnt-get-r713-million-salary,18358,16412,,,,,,,True,,,False,4,1,,,Africa Check,reserve_unreviewed,no,6184.0,misleading,1.0,fake,no south africa s late zulu king zwelithini didn t get a r71 3 million salary,['employment'],{'employment'},1,1,False
round2_africa_check_006,Africa Check,genuine,Revenue has been under-performing for the last 10 years.,genuine,correct,True,['company_finance'],9,True,1,1.0,1,2020-05-28T00:00:00,https://africacheck.org/fact-checks/reports/yes-finance-minister-correct-kenya-missed-revenue-targets-over-past-10-years,17425,15461,yes,yes,yes,yes,,"Individually acceptable, but the pair is removed because the misleading counterpart is a correction headline.",False,False,False,False,0,2,factors_audit_chunk_05_completed.csv,africa_check_004,Africa Check,round1_individually_valid,yes,,,,,revenue has been under performing for the last 10 years,['company_finance'],{'company_finance'},0,1,False
round2_africa_check_006,Africa Check,misleading,"No, Nigeria's federal inland revenue service not recruiting",misleading,false,false,['company_finance'],8,True,1,1.0,1,2022-08-22T00:00:00,https://africacheck.org/fact-checks/meta-programme-fact-checks/no-nigerias-federal-inland-revenue-service-not-recruiting,19385,17458,,,,,,,True,,,False,4,2,,,Africa Check,reserve_unreviewed,no,3266.0,misleading,1.0,false,no nigeria s federal inland revenue service not recruiting,['company_finance'],{'company_finance'},1,1,False
round2_snopes_019,Snopes,genuine,"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover ""economic and opportunity losses"" the community has endured throughout history, both due to the city's policies and the wider effects of societal discrimination.",genuine,true,True,['company_finance'],49,True,1,1.0,25,2023-01-17T22:24:10,https://www.snopes.com/fact-check/san-francisco-5-million-black-reparations/,83292,86371,yes,yes,yes,yes,,Rejected pair: misleading row is primarily an image/post-authenticity claim; insurer profits appear only inside the alleged quotation.,False,True,False,False,2,3,factors_audit_chunk_01_completed.csv,snopes_070,Snopes,round1_individually_valid,yes,,,,,a committee has proposed that the city of san francisco give 5 million each to qualifying black people as part of a reparations plan to cover economic and opportunity losses the community has endured throughout history both due to the city s policies and the wider effects of societal discrimination,['company_finance'],{'company_finance'},0,1,True
round2_snopes_019,Snopes,misleading,U.S. House Speaker Nancy Pelosi passed a bill that would help her husband profit off the sale of federally owned U.S. Postal Service property.,misleading,false,false,['company_finance'],24,True,1,1.0,25,2020-08-29T08:00:32,https://www.snopes.com/fact-check/pelosi-usps-husband-meme/,87892,91110,,,,,,,False,,,False,3,3,,,Snopes,reserve_unreviewed,no,100992.0,misleading,1.0,false,u s house speaker nancy pelosi passed a bill that would help her husband profit off the sale of federally owned u s postal service property,['company_finance'],{'company_finance'},1,1,True
round2_grass_fact_check_002,Grass Fact Check,genuine,"""The volume of Georgia's debt has increased.""",genuine,true,true,['debt'],7,True,1,0.5,20,2015-03-20T00:00:00,https://factcheck.ge/en/story/16730-the-volume-of-georgia-s-debt-has-increased,43816,43988,,,,,,,False,,,False,3,4,,,Grass Fact Check,reserve_unreviewed,no,25297.0,genuine,1.0,true,the volume of georgia s debt has increased,['debt'],{'debt'},1,1,True
round2_grass_fact_check_002,Grass Fact Check,misleading,"""The result of the Georgian Dream's faulty economic policy: state foreign debt exceeded the allowed threshold and reached GEL 31.9 billion which constitutes 61.3% of the GDP.""",misleading,lie,False,"['debt', 'macroeconomy']",27,True,1,0.5,20,2021-04-05T00:00:00,https://factcheck.ge/en/story/39329--the-result-of-the-georgian-dream-s-faulty-economic-policy-state-foreign-debt-exceeded-the-allowed-threshold-and-reached-gel-31-9-billion-which-constitutes-61-3-of-the-gdp,43914,44086,yes,yes,yes,yes,,Rejected pair: genuine claim is truncated mid-sentence.,False,False,True,False,2,4,factors_audit_chunk_01_completed.csv,grass_fact_check_003,Grass Fact Check,round1_individually_valid,yes,,,,,the result of the georgian dream s faulty economic policy state foreign debt exceeded the allowed threshold and reached gel 31 9 billion which constitutes 61 3 of the gdp,"['debt', 'macroeconomy']","{'macroeconomy', 'debt'}",0,1,True
round2_africa_check_013,Africa Check,genuine,We are dealing with a situation where the amount set aside for repayment of the debt is much higher than all the money that Yatani is putting together for development expenditure.,genuine,correct,True,['debt'],31,True,1,1.0,19,2020-07-08T00:00:00,https://africacheck.org/fact-checks/reports/its-crisis-fact-checking-top-opposition-leaders-claims-about-kenyas-2020-budget,17567,15605,yes,yes,yes,yes,,"Rejected pair: misleading row is written as a correction ('19%, not 67%') and its sentence meaning conflicts with the misleading label.",False,False,True,False,2,5,factors_audit_chunk_01_completed.csv,africa_check_026,Africa Check,round1_individually_valid,yes,,,,,we are dealing with a situation where the amount set aside for repayment of the debt is much higher than all the money that yatani is putting together for development expenditure,['debt'],{'debt'},0,1,True
round2_africa_check_013,Africa Check,misleading,Nigeria's debt has increased by N4 trillion in the past six years.,misleading,incorrect,false,['debt'],12,True,1,1.0,19,2022-04-14T00:00:00,https://africacheck.org/fact-checks/reports/online-publication-ties-itself-knots-report-nigerias-debt-profile,19084,17153,,,,,,,False,,,False,3,5,,,Africa Check,reserve_unreviewed,no,5751.0,misleading,1.0,incorrect,nigeria s debt has increased by n4 trillion in the past six years,['debt'],{'debt'},1,1,True
round2_dubawa_001,Dubawa,genuine,"The chairman of the Presidential Tax and Fiscal Policy Reform, Taiwo Oyedele, claimed that the 774 local governments in Nigeria did not receive up to N50 billion cumulatively in 2022.",genuine,true,True,['tax'],30,True,1,1.0,12,2024-01-25T12:53:25,https://dubawa.org/tinubus-aides-comment-on-local-government-funds-false/,29312,28410,yes,yes,yes,yes,,"Individually acceptable, but pair removed because the misleading counterpart contains source/viral framing.",False,False,False,False,2,6,factors_audit_chunk_02_completed.csv,dubawa_007,Dubawa,round1_individually_valid,yes,,,,,the chairman of the presidential tax and fiscal policy reform taiwo oyedele claimed that the 774 local governments in nigeria did not receive up to n50 billion cumulatively in 2022,['tax'],{'tax'},0,1,True
round2_dubawa_001,Dubawa,misleading,Churches are requested to get a Tax Identification Number and the Special Control Unit on Money Laundering .,misleading,false,false,['tax'],18,True,1,1.0,12,2021-06-03T12:38:06,https://dubawa.org/nigerian-churches-forced-to-pay-tax-other-claims-in-viral-whatsapp-message-fact-checked/,30176,29295,,,,,,,False,,,False,3,6,,,Dubawa,reserve_unreviewed,no,12731.0,misleading,1.0,false,churches are requested to get a tax identification number and the special control unit on money laundering,['tax'],{'tax'},1,1,True
round2_snopes_020,Snopes,genuine,Con artists are circulating letters demanding the completion of fake IRS forms that would arm them with all the information necessary to steal the identities and empty the bank accounts of those who fall for this ruse,genuine,true,True,['banking'],37,False,0,0.0,10,2002-05-12T12:00:00,https://www.snopes.com/fact-check/form-of-theft/,98430,101898,yes,yes,yes,yes,,"Rejected pair: misleading row concerns deletion of tweets after a tax report, not a substantive financial or economic claim.",False,False,False,True,2,7,factors_audit_chunk_01_completed.csv,snopes_086,Snopes,round1_individually_valid,yes,,,,,con artists are circulating letters demanding the completion of fake irs forms that would arm them with all the information necessary to steal the identities and empty the bank accounts of those who fall for this ruse,['banking'],{'banking'},0,1,False
round2_snopes_020,Snopes,misleading,"Article 54 of Obamacare stipulates 30 percent of seniors' social security payments will be ""diverted"" to pay for insurance for undocumented immigrants as of 1 May 2018.",misleading,false,false,['pension'],27,False,0,0.0,10,2018-04-16T07:19:02,https://www.snopes.com/fact-check/article-54-of-obamacare/,90792,94150,,,,,,,False,,,True,3,7,,,Snopes,reserve_unreviewed,no,88778.0,misleading,1.0,false,article 54 of obamacare stipulates 30 percent of seniors social security payments will be diverted to pay for insurance for undocumented immigrants as of 1 may 2018,['pension'],{'pension'},1,1,False
round2_africa_check_017,Africa Check,genuine,"In Tshwane, the DA inherited a R1 billion deficit from the ANC and turned it into a surplus in a year.",genuine,correct,True,['deficit'],21,False,0,0.0,1,2019-03-28T00:00:00,https://africacheck.org/fact-checks/reports/settling-long-running-da-anc-spat-over-city-tshwane-finances,16288,14293,yes,yes,yes,yes,,"Individually acceptable, but pair removed because the misleading counterpart failed the audit.",False,False,False,True,2,8,factors_audit_chunk_02_completed.csv,africa_check_023,Africa Check,round1_individually_valid,yes,,,,,in tshwane the da inherited a r1 billion deficit from the anc and turned it into a surplus in a year,['deficit'],{'deficit'},0,1,False
