id,text,label,label_id,source,pair_id,dataset_round,date_published,original_verdict,url,text_original,leading_says_removed,residual_says_removed,affect_anger,affect_fear,affect_joy,affect_sadness,affect_valence
70511,"Obama promised to cut the deficit by half by the end of his first term but he ""hasn't even come close.""",genuine,0,PolitiFact,politifact_176,round1,2012-05-17T00:00:00,true,https://www.politifact.com/factchecks/2012/may/17/crossroads-gps/crossroads-gps-ad-says-obama-failed-keep-pledge-ha/,"Obama promised to cut the deficit by half by the end of his first term but he ""hasn't even come close.""",False,False,0.438,0.292,0.22,0.438,0.36
70798,"President Obama has ""doubled"" the deficit.",misleading,1,PolitiFact,politifact_176,round1,2012-10-05T00:00:00,false,https://www.politifact.com/factchecks/2012/oct/05/mitt-romney/mitt-romney-says-barack-obama-has-doubled-deficit/,"Says President Obama has ""doubled"" the deficit.",True,False,0.438,0.333,0.16,0.375,0.383
90524,"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.""",genuine,0,Snopes,snopes_075,round1,2018-06-13T12:11:48,true,https://www.snopes.com/fact-check/bill-maher-recession-get-rid-trump/,"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.""",False,False,0.438,0.333,0.292,0.375,0.433
84750,The White House changed the definition of what constitutes an economic recession.,misleading,1,Snopes,snopes_075,round1,2022-07-28T16:01:35,false,https://www.snopes.com/fact-check/white-house-definition-recession/,The White House changed the definition of what constitutes an economic recession.,False,False,0.438,0.33,0.208,0.396,0.483
68793,"""half the Americans don't pay any income taxes.""",genuine,0,PolitiFact,politifact_014,round1,2012-02-29T00:00:00,true,https://www.politifact.com/factchecks/2012/feb/29/scott-garrett/congressman-scott-garrett-claims-half-all-american/,"Says ""half the Americans don't pay any income taxes.""",True,False,0.438,0.333,0.208,0.375,0.433
70881,"with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",misleading,1,PolitiFact,politifact_014,round1,2012-11-15T00:00:00,false,https://www.politifact.com/factchecks/2012/nov/15/mike-white/obamas-re-election-federal-and-state-rates-wiscons/,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",True,False,0.438,0.333,0.23,0.396,0.431
44462,"""Average annual inflation constituted 8.4% under the governance of the United National Movement whilst the figure under the Georgian Dream's governance is 6%.""",genuine,0,Grass Fact Check,grass_fact_check_015,round1,2024-03-25T00:00:00,true,https://factcheck.ge/en/story/42705--average-annual-inflation-constituted-8-4-under-the-governance-of-the-united-national-movement-whilst-the-figure-under-the-georgian-dream-s-governance-is-6,"""Average annual inflation constituted 8.4% under the governance of the United National Movement whilst the figure under the Georgian Dream's governance is 6%.""",False,False,0.333,0.292,0.33,0.333,0.46
43725,"""Another problem is the price increase, inflation… According to only the latest documents, prices for practically everything rose by an average of 20-25%. Prices of some products reveal as much as a 200% increase.""",misleading,1,Grass Fact Check,grass_fact_check_015,round1,2014-05-08T00:00:00,false,https://factcheck.ge/en/story/12669-another-problem-is-the-price-increase-inflation-according-to-only-the-latest-documents-prices-for-practically-everything-rose-by-an-average-of-20-25-prices-of-some-products-reveal,"""Another problem is the price increase, inflation… According to only the latest documents, prices for practically everything rose by an average of 20-25%. Prices of some products reveal as much as a 200% increase.""",False,False,0.583,0.583,0.167,0.583,0.267
43867,"Of the GEL 345 million increase in the 2019 state budget, GEL 145 million is debt",genuine,0,Grass Fact Check,grass_fact_check_026,round1,2018-12-05T00:00:00,true,https://factcheck.ge/en/story/37715-of-the-gel-345-million-increase-in-the-2019-state-budget-gel-145-million-is-debt#439,"Of the GEL 345 million increase in the 2019 state budget, GEL 145 million is debt",False,False,0.438,0.333,0.292,0.375,0.433
43672,Interest rates under the previous government were at 21% and they have been decreased three-fold,misleading,1,Grass Fact Check,grass_fact_check_026,round1,2019-06-30T00:00:00,false,https://factcheck.ge/en/story/38136-interest-rates-under-the-previous-government-were-at-21-and-they-have-been-decreased-three-fold,Interest rates under the previous government were at 21% and they have been decreased three-fold,False,False,0.375,0.271,0.354,0.333,0.483
