id,statement,subject,matched_financial_subjects,matched_high_confidence_terms,matched_supporting_terms,matched_off_topic_patterns,financial_match_source,binary_label,binary_label_name,speaker,date,context,original_split,word_count,financially_relevant,standalone_claim,audit_notes
8546,"Says Mary Burke's ""2007-'09 state budget had a tax hike of $1.8 billion -- costing every man, woman and child in the state an extra $310.",state budget;taxes,state budget;taxes,state_budget,budget;tax,,high_confidence_and_subject,0,misleading,republican party of wisconsin,"March 13, 2014",a website ad,train,26,yes,yes,
5899,"President Obama's health care law says ""when you sell your house now you have to pay a 3.8 percent tax.",health care;housing;income;taxes,income;taxes,,tax,,subject_and_supporting_text,0,misleading,"vincent ""buddy"" cianci","July 11, 2012",a question to a candidate,train,20,yes,yes,
12753,Thirty-one percent of school districts are still receiving less funding per pupil than they did prior to the dramatic budget cuts of 2011.,education;state budget,state budget,,budget,,subject_and_supporting_text,1,genuine,donna howard,"September 19, 2016",the Austin American-Statesman,train,23,yes,yes,
3770,Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.,economy;jobs,economy;jobs,,job,,subject_and_supporting_text,1,genuine,john kitzhaber,"April 19, 2011",a press release,test,17,yes,yes,
4179,"Says that in 2009 ExxonMobil ""paid no federal income taxes, received a $156 million rebate.",corporations;taxes,corporations;taxes,income_tax,income;tax,,high_confidence_and_subject,0,misleading,dennis kucinich,"August 6, 2011",a television interview,valid,15,yes,yes,
9030,The Wisconsin unemployment rate was higher than the U.S. rate during only three months when Mary Burke was state commerce secretary.,candidate biography;economy;jobs;states,economy;jobs,unemployment_rate,unemployment,,high_confidence_and_subject,0,misleading,joe zepecki,"June 23, 2014",an interview,train,21,yes,yes,
14048,"If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",health care;taxes,taxes,income_tax,income;tax,,high_confidence_and_subject,0,misleading,tim scott,"November 26, 2017","an interview on ABC's ""This Week""",valid,16,yes,yes,
3565,"Says Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit.",labor;state budget,labor;state budget,,deficit,,subject_and_supporting_text,0,misleading,gwen moore,"April 30, 2011",a speech at a state Democratic Party dinner,train,11,yes,yes,
1376,"The stimulus bill ""didn't create one new job.",stimulus;workers,stimulus;workers,stimulus,job,,high_confidence_and_subject,0,misleading,scott brown,"February 4, 2010",a press conference,train,8,yes,yes,
14398,"A Trump administration proposal for the Interior Department ""is the largest investment in our public lands infrastructure in our nation's history.",environment;federal budget;infrastructure,federal budget,,investment,,subject_and_supporting_text,0,misleading,ryan zinke,"March 13, 2018",testimony before a Senate committee,train,21,yes,yes,
4434,"Nearly 14,000 Wisconsinites have lost their job since Governor Walker and the Republicans took over in January.",jobs,jobs,,job,,subject_and_supporting_text,0,misleading,mark miller,"September 28, 2011",a news release,valid,17,yes,yes,
9299,My campaign alone has created more jobs in the state of Rhode Island than Narragansett Beer.,alcohol;debates;economy;jobs,economy;jobs,,job,,subject_and_supporting_text,1,genuine,clay pell,"August 26, 2014",a TV debate,valid,16,yes,no,"The jobs claim is economically relevant, but 'my campaign' does not identify the speaker in the statement."
12786,We (in Illinois) have the fifth-highest tax burden in the country.,taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,christine radogno,"November 14, 2016",a press conference,train,11,yes,yes,
7772,CBO reports that delaying the Obamacare individual mandate will reduce the deficit by $35 billion over ten years.,federal budget;health care,federal budget,,deficit,,subject_and_supporting_text,1,genuine,grover norquist,"September 8, 2013",a tweet,train,18,yes,yes,
8690,"Americans spend ""6.1 billion hours a year"" on tax preparation.",taxes,taxes,,tax,,subject_and_supporting_text,1,genuine,virginia foxx,"April 15, 2014",a comment on Twitter,train,10,yes,yes,
10225,"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings.",agriculture;families;small business;taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,robert hurt,"April 16, 2015",a statement,train,18,yes,yes,
5805,"Says, ""Yet in Salem they have traditionally waited until the money is almost gone to pay for the most important things in our state's budget.",education;state budget,state budget,,budget,,subject_and_supporting_text,0,misleading,shawn lindsay,"June 21, 2012",a campaign press release,train,25,yes,no,"The budget claim is relevant, but 'they' and 'our state' are not identified in the statement."
15225,"Dan McCready ""did admit he opposes middle class tax cuts.",taxes,taxes,,tax,,subject_and_supporting_text,0,misleading,congressional leadership fund,"October 18, 2018",a video,train,10,yes,yes,
7263,"Nearly 40,000 new jobs have been created in the last year due to the new wells . . . right here in Ohio.",energy;jobs,jobs,,job,,subject_and_supporting_text,0,misleading,ohio oil and gas association,"April 10, 2013",a TV/internet ad,train,23,yes,yes,
3102,"Says under his budget-repair bill, ""collective bargaining is fully intact.",labor;state budget,labor;state budget,,budget,,subject_and_supporting_text,0,misleading,scott walker,"February 18, 2011",a radio interview,valid,10,no,yes,The central claim concerns collective-bargaining rights rather than a fiscal or economic outcome.
10536,"Says David Jolly refused ""to cut spending for a national greenhouse in D.C.",federal budget,federal budget,,spending,,subject_and_supporting_text,1,genuine,club for growth,"July 20, 2015",a statement,train,13,yes,yes,
9179,"Rhode Island's state pension system ""underperformed the median three out of the four years that Mr. [Frank] Caprio was in office.",candidate biography;economy;pensions;retirement;workers,economy;pensions;workers,pension,,,high_confidence_and_subject,1,genuine,seth magaziner,"July 13, 2014",a debate on WPRI-TV,train,21,yes,yes,
21672,"The ""average federal income tax"" paid by the richest Americans is ""8%. … If you're a cop, a teacher, a firefighter, union worker, you probably pay two to three times that.",taxes,taxes,income_tax,income;tax,,high_confidence_and_subject,0,misleading,joe biden,"July 6, 2022",Cleveland,train,31,yes,yes,
5048,"Oregon House Republicans' jobs plan could generate more than 50,000 jobs over five years.",jobs,jobs,,job,,subject_and_supporting_text,1,genuine,kevin cameron,"January 21, 2012",a news release,train,14,yes,yes,
17256,"Trade agreements like NAFTA and permanent normal trade relations with China, which forced American workers to compete against people making pennies an hour, has resulted in the loss of 160,000 jobs here in Michigan.",jobs;trade,jobs;trade,,job;trade,,subject_and_supporting_text,1,genuine,bernie sanders,"March 8, 2020","an interview on NBC's ""Meet the Press""",train,34,yes,yes,
8921,"By the time I left"" the State Department, ""economic growth was up and opium production was down"" in Afghanistan, while ""infant mortality declined"" and school enrollment rose by more than sevenfold.",drugs;economy;education;health care;foreign policy;public health;women,economy,economic_growth,economic,,high_confidence_and_subject,1,genuine,hillary clinton,"June 10, 2014","her book, ""Hard Choices""",train,31,yes,yes,
