id,label,source,text_original,text
70798,misleading,PolitiFact,"Says President Obama has ""doubled"" the deficit.","President Obama has ""doubled"" the deficit."
68793,genuine,PolitiFact,"Says ""half the Americans don't pay any income taxes.""","""half the Americans don't pay any income taxes."""
70881,misleading,PolitiFact,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""","with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent."""
62434,misleading,PolitiFact,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""","Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs."""
68526,genuine,PolitiFact,"Say that under state law, ""systems development charges can only be spent on capital investment.""","under state law, ""systems development charges can only be spent on capital investment."""
68545,misleading,PolitiFact,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.""","Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion."""
67467,misleading,PolitiFact,"Says Oregon's high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997.""","Oregon's high minimum wage is the reason why ""by 2011, Oregon's restaurants employed an average of only 13.8 workers, or 2.6 fewer employees than they did before the state's minimum wage began rising above the federal level in 1997."""
67865,misleading,PolitiFact,"Says U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy.""","U.S. Senate rival Tommy Thompson ran Medicare ""into the ground"" and ""nine years closer to bankruptcy."""
72212,genuine,PolitiFact,Says income tax rates under Eisenhower were as high as 90 percent.,income tax rates under Eisenhower were as high as 90 percent.
61992,misleading,PolitiFact,"Says that after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families.""","after ""the last income tax increase in the state of Illinois, we saw the largest exodus of middle-income families."""
70671,misleading,PolitiFact,"Says library district would come ""at no direct cost to the city budget.""","library district would come ""at no direct cost to the city budget."""
70651,misleading,PolitiFact,"Says Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget.","Democrats racked up a $1 billion state deficit, while Republicans under Bill O'Brien balanced the budget."
70380,genuine,PolitiFact,"Says the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office.""","the proposed fiscal year 2013 budget ""is still below the level of state spending when I took office."""
68737,misleading,PolitiFact,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""","her accomplishments include ""a fiscally responsible budget agreement that controls state spending."""
74415,misleading,PolitiFact,"Says the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014.","the Clinton Foundation ""gave ONLY $5 million to charities, spent $85 million for their salaries & travels and KEPT the rest = $87 million"" in 2014."
74512,misleading,PolitiFact,"Says the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security withholding.""","the Democratic Party ""took Social Security from the independent 'Trust Fund' and put it into the general fund so that Congress could spend it"" and ""eliminated the income tax deduction for Social Security withholding."""
67676,misleading,PolitiFact,"Says Chris Christie's plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it.""","Chris Christie's plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it."""
69801,misleading,PolitiFact,"Says the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul.","the Internal Revenue Service estimated it must hire ""16,500 agents at a cost of $10 billion to the taxpayer"" to enforce the federal health care overhaul."
67796,genuine,PolitiFact,"Says food stamp growth, while high, lagged the rise in unemployment.","food stamp growth, while high, lagged the rise in unemployment."
68300,genuine,PolitiFact,"Says if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent.","if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent."
69106,genuine,PolitiFact,"Says ""51 percent of federal tax filers paid zero federal income tax.""","""51 percent of federal tax filers paid zero federal income tax."""
69368,misleading,PolitiFact,"Says that in 2009 ExxonMobil ""paid no federal income taxes, received a $156 million rebate.""","in 2009 ExxonMobil ""paid no federal income taxes, received a $156 million rebate."""
70385,genuine,PolitiFact,"Says Barack Obama ""promised he would cut the deficit in half"" but didn't.","Barack Obama ""promised he would cut the deficit in half"" but didn't."
68964,misleading,PolitiFact,"Says the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can.""","the Simpson-Bowles deficit reduction proposal went from President Barack Obama's desk to ""the garbage can."""
69777,genuine,PolitiFact,"Says Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining.""","Milwaukee County spent over $170,000 in salaries in 2010 for employees to ""participate in union activities such as collective bargaining."""
65499,misleading,PolitiFact,"Says Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage.","Hillary Clinton will receive her ""congressional salary until she dies"" and the Secret Service pays her mortgage."
70461,genuine,PolitiFact,"Says the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025.""","the Congressional Budget Office has estimated ""every penny of the federal budget will go to interest on the debt and entitlement spending by 2025."""
68741,misleading,PolitiFact,"Says in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt.""","in the 2012 State of the Union address, President Obama ""didn't even mention the deficit or debt."""
70559,misleading,PolitiFact,Says combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.,combined inflation and unemployment rates in October 2011 were the highest since Ronald Reagan succeeded Jimmy Carter.
69308,misleading,PolitiFact,"Says CNN's Wolf Blitzer was wrong to say that ""the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans don't even pay any federal income tax.""","CNN's Wolf Blitzer was wrong to say that ""the wealthiest Americans, they pay the most in taxes already -- 50 percent of Americans don't even pay any federal income tax."""
67663,genuine,PolitiFact,"Says ending the direct payment farm subsidy program ""could save up to $28.4 billion over ten years that could be used to reduce the deficit.""","ending the direct payment farm subsidy program ""could save up to $28.4 billion over ten years that could be used to reduce the deficit."""
67779,genuine,PolitiFact,"Says budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker.","budget savings by reducing pay and benefits for federal employees total $103 billion over 10 years -- more than $50,000 per worker."
69538,misleading,PolitiFact,Says many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.
68989,misleading,PolitiFact,"Says a new national poll shows ""the majority of the American people believe we should have a gold standard"" for U.S. currency.","a new national poll shows ""the majority of the American people believe we should have a gold standard"" for U.S. currency."
70408,misleading,PolitiFact,"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the state's unemployment rate was ""the lowest in the country for 40 consecutive months.""","when he was governor, Wisconsin cut unemployment to 2.1 percent and the state's unemployment rate was ""the lowest in the country for 40 consecutive months."""
70820,misleading,PolitiFact,"Says the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act.""","the U.S. Senate has passed ""a budget"" over the last three years ""called the Budget Control Act."""
70435,genuine,PolitiFact,"Says the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949.""","the United States ""actually exports more gasoline, diesel and other fuels than it imported in 2011 for the first time since, I think, 1949."""
59038,misleading,PolitiFact,"Says Gov. Ron DeSantis ""opposed my China tariffs and he heartlessly opposed"" $28 billion for farm relief, which was paid for by China.","Gov. Ron DeSantis ""opposed my China tariffs and he heartlessly opposed"" $28 billion for farm relief, which was paid for by China."
71134,genuine,PolitiFact,Says spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget,spending in the fiscal 2009 budget was lower than spending in the fiscal 2014 budget
64910,misleading,PolitiFact,"Says he faced ""a record budget deficit"" in Virginia in 2014.","he faced ""a record budget deficit"" in Virginia in 2014."
70630,misleading,PolitiFact,"Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""","raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift."""
70697,genuine,PolitiFact,Says the top 20 percent of income earners pay nearly 70 percent of all federal taxes.,the top 20 percent of income earners pay nearly 70 percent of all federal taxes.
69158,misleading,PolitiFact,"Says state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs.""","state Senate President Stephen ""Sweeney gave us the nation's highest income tax rates, driving out jobs."""
61714,misleading,PolitiFact,"Says North Carolina's average teacher salary was at the national average ""back when I was in public school.""","North Carolina's average teacher salary was at the national average ""back when I was in public school."""
71751,misleading,PolitiFact,"Says Charlie Crist ""voted against minimum wage when he was in the Senate.""","Charlie Crist ""voted against minimum wage when he was in the Senate."""
68176,misleading,PolitiFact,"Says U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.""","U.S. Rep. Martin Heinrich ""spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas."""
69652,genuine,PolitiFact,Says six of the state's 58 family planning centers had to close because of Gov. Chris Christie's budget cuts.,six of the state's 58 family planning centers had to close because of Gov. Chris Christie's budget cuts.
69213,misleading,PolitiFact,"Says he's ""never asked for more"" than inflationary budget increases in his 10 budgets as Milwaukee County sheriff","he's ""never asked for more"" than inflationary budget increases in his 10 budgets as Milwaukee County sheriff"
70199,genuine,PolitiFact,Says Barack Obama promised to halve the deficit in his first term.,Barack Obama promised to halve the deficit in his first term.
69755,misleading,PolitiFact,"Says Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit.""","Wisconsin Gov. Scott Walker ""literally invented a $3.6 billion deficit."""
