id,statement,subject,matched_financial_subjects,matched_financial_terms,financial_match_source,binary_label,binary_label_name,speaker,date,context,original_split,word_count,financially_relevant,standalone_claim,audit_notes
7482,Says the 2014-15 Texas budget increases spending by less than the rate of inflation and population growth.,state budget,state budget,,subject,1,genuine,rick perry,"June 10, 2013",a bill-signing ceremony,train,17,,,
9865,"We've seen ""our deficits cut by two-thirds.",deficit,deficit,,subject,1,genuine,barack obama,"January 20, 2015",his 2015 State of the Union address,train,7,,,
22542,Fifty-one percent of our taxes are paid by 2% of New Yorkers.,city budget;taxes,taxes,,subject,1,genuine,eric adams,"January 7, 2023",a radio interview,train,12,,,
10076,Beer drinking is not allowed in any Illinois state parks.,state budget,state budget,,subject,0,misleading,howard marklein,"March 3, 2015",a budget hearing,train,10,,,
15896,"The state budget fully funds ""an initiative to provide free college tuition for illegal immigrants, while rejecting an increase in Tuition Assistance Program funding that would help middle-class families afford college.",education;state budget,state budget,,subject,1,genuine,john flanagan,"April 1, 2019",a news release,valid,31,,,
2736,The American people spoke pretty loudly. They said stop all the looming tax hikes....,taxes,taxes,,subject,0,misleading,john boehner,"December 1, 2010",comments to reporters,train,14,,,
18639,"Says he ""fully funded Missouri K-12 education for the first time in state history.",education;state budget,state budget,,subject,0,misleading,caleb rowden,"September 22, 2020",an online campaign ad,train,14,,,
12032,Our economy is not growing.,economy,economy,,subject,0,misleading,rick scott,"July 20, 2016",a speech at the Republican convention,valid,5,,,
6164,"Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",economy;federal budget;income,economy;federal budget;income,,subject,0,misleading,paul ryan,"August 27, 2012",a speech,test,33,,,
16461,"What was the reality for most Americans during the Obama presidency? Most lost wealth and their incomes fell, particularly for those at the bottom of the ladder.",economy;punditfact,economy,,subject,1,genuine,stanley greenberg,"September 9, 2019","his book, ""RIP GOP""",test,27,,,
2801,"Under the compromise tax agreement, ""99.7% of American families will not pay 1 nickel in an estate tax.",taxes,taxes,,subject,1,genuine,bernie sanders,"December 13, 2010",a Twitter message,test,18,,,
3307,Withheld union dues fund half of Dem (Democratic) campaigns in Florida.,labor,labor,,subject,0,misleading,grover norquist,"March 24, 2011",a post on Twitter,train,11,,,
5228,"Obama's secretary of energy, Dr. Steven Chu, ""has said publicly he wants us to pay European levels (for gasoline), and that would be $9 or $10 a gallon.",gas prices,gas prices,,subject,1,genuine,newt gingrich,"March 11, 2012","an appearance on ""Fox News Sunday""",train,28,,,
22803,"Climate change is caused by corporations using ""weather modification patents.",climate change;corporations;weather;facebook fact-checks,corporations,,subject,0,misleading,instagram posts,"March 22, 2023",an Instagram post,train,10,,,
16379,"Says Pennsylvania chemical plant and Louisiana liquified natural gas plant ""could never have happened"" without his administration.",energy;jobs,jobs,,subject,0,misleading,donald trump,"August 15, 2019","Manchester, NH",train,17,,,
11239,Ted Cruz defended a Chinese company that stole an invention from an American inventor.,china;corporations;legal issues,corporations,,subject,1,genuine,marco rubio,"February 2, 2016","Bow, N.H",train,14,,,
10481,Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.,baseball;county budget;debt;economy;legal issues,debt;economy,,subject,1,genuine,tim lee,"June 30, 2015",mass email,valid,18,,,
11089,"Says he faced ""a record budget deficit"" in Virginia in 2014.",state budget,state budget,budget deficit,subject_and_text,0,misleading,terry mcauliffe,"December 10, 2015",a radio interview,train,11,,,
5482,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.",state budget;taxes,state budget;taxes,property tax,subject_and_text,0,misleading,pat quinn,"April 17, 2012",an email to campaign supporters,train,15,,,
8738,"Ed Gillespie's 2006 book ""promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.",medicaid;taxes,taxes,income tax,subject_and_text,1,genuine,democratic party of virginia,"March 24, 2014",news release,train,24,,,
4134,"Says that Wall Street hedge fund managers ""pay a lower tax rate than does a sheet metal worker in Parma or a school teacher in Cleveland.",income;taxes,income;taxes,,subject,1,genuine,sherrod brown,"August 2, 2011",a television interview,train,26,,,
14482,"When a car is sent to the United States from China, there is a Tariff to be paid of 2 1/2%. When a car is sent to China from the United States, there is a Tariff to be paid of 25%.",china;trade,trade,,subject,1,genuine,donald trump,"April 9, 2018",a tweet,train,41,,,
8179,"The Employment Non-Discrimination Act ""discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",lgbtq;religion;workers,workers,,subject,0,misleading,traditional values coalition,"December 6, 2013",a fundraising email,test,19,,,
10586,"Wisconsin's ""rainy day fund"" is ""165 times bigger than when we first took office.",state budget;taxes,state budget;taxes,,subject,1,genuine,scott walker,"August 3, 2015",a candidates forum,train,14,,,
6614,"Says Barack Obama ""sold Chrysler to Italians who are going to build Jeeps in China"" at the cost of American jobs.",china;jobs;message machine 2012;workers,jobs;workers,,subject,0,misleading,mitt romney,"October 29, 2012",a television ad,train,21,,,
2472,"Said U.S. Rep. Jim Marshall, D-Macon, sent nearly $2 billion overseas to build wind turbines and create jobs, mostly in China",environment;message machine 2010;stimulus,stimulus,,subject,0,misleading,austin scott,"October 5, 2010",a TV campaign commercial,train,21,,,
9524,The unemployment rate for young people is down from a 10.6 percent high in 2009 to 2.6 percent today.,economy;jobs;workers,economy;jobs;workers,unemployment rate,subject_and_text,0,misleading,michelle obama,"October 7, 2014",a speech,train,19,,,
4307,This is the worst jobs recovery since the Great Depression.,economy,economy,,subject,0,misleading,herman cain,"September 15, 2011",an op-ed,valid,10,,,
1156,"The proposed excise tax on ""Cadillac"" health plans will hit ""those making less than $200,000"" the hardest.",health care;taxes,taxes,,subject,1,genuine,sarah palin,"October 17, 2009",a note on Facebook,train,17,,,
3719,Says Rick Perry said there's an administrator for every teacher in Texas public schools.,education;state budget,state budget,,subject,0,misleading,doug otto,"March 22, 2011",a radio interview,train,14,,,
5989,"Says Chris Christie ""has refused to fund pensions by billions of dollars,"" and got legislative approval to begin ""properly funding pensions"" in 2018.",pensions;retirement,pensions,pension,subject_and_text,1,genuine,dannel malloy,"July 23, 2012",a radio interview,test,23,,,
4819,We are now eighth in the nation in job creation . . . we are No. 1 in the Midwest.,economy;jobs,economy;jobs,,subject,1,genuine,john kasich,"January 19, 2012",a news conference,train,20,,,
21883,Student debt relief is taxable by the Internal Revenue Service.,debt;taxes;facebook fact-checks,debt;taxes,,subject,0,misleading,facebook posts,"August 25, 2022",a post,train,10,,,
9818,"The Milwaukee Bucks are ""actually younger than the Marquette team.",economy;education;recreation;sports,economy,,subject,0,misleading,peter feigin,"January 6, 2015",a speech,train,10,,,
3357,We lost more jobs in this great recession than the last four recessions combined.,economy;jobs;labor;this week - abc news,economy;jobs;labor,recession,subject_and_text,1,genuine,george will,"April 3, 2011","a roundtable segment on ABC's ""This Week with Christiane Amanpour""",test,14,,,
2251,"Says a ""Pro-Stimulus economist admits it is not working …",economy;stimulus,economy;stimulus,,subject,0,misleading,rob portman,"August 25, 2010",a posting on Facebook,train,10,,,
2017,"Says President Barack Obama initially said the national health-care mandate isn't a tax, but his administration now says it is a tax.",health care;taxes,taxes,,subject,1,genuine,republican party of texas,"July 19, 2010",a message on Twitter,train,22,,,
12716,We can fix our roads without raising taxes.,transportation;taxes,taxes,,subject,0,misleading,citizens to protect transportation funding,"September 28, 2016",a TV ad,train,8,,,
6224,"Says Mitt Romney told university students in Ohio that to start a business, they should ""borrow money if you have to from your parents.",economy;small business,economy,,subject,1,genuine,julián castro,"September 4, 2012","Charlotte, N.C",train,24,,,
1233,"Less than 10 percent of Obama's Cabinet appointees ""have any experience in the private sector.",economy;pundits,economy,,subject,0,misleading,glenn beck,"November 30, 2009",a statement on his show on Fox News Channel,train,15,,,
9521,"If Florida had not taken the stimulus, it ""would have led to the firing of 20,000 teachers.",economy;education;stimulus,economy;stimulus,,subject,1,genuine,charlie crist,"October 10, 2014",a gubernatorial debate,train,17,,,
21615,The four big meat packers are raking in record profits …,agriculture;corporations;economy,corporations;economy,,subject,1,genuine,abigail spanberger,"June 16, 2022",an op-ed,train,11,,,
7212,We Really Do Have the Highest Corporate Tax Rate in the World.,taxes,taxes,corporate tax,subject_and_text,1,genuine,the tax foundation,"April 12, 2013",a press release,train,12,,,
2062,I've even cut my own salary -- twice.,message machine 2010;state budget,state budget,,subject,1,genuine,kevin boyce,"July 14, 2010",a campaign video,test,8,,,
8443,"In Oregon, women earn an average of 79 cents for every dollar that men earn for doing the same job. That's just wrong.",income,income,,subject,1,genuine,brad avakian,"January 31, 2014",a campaign website statement,train,23,,,
13985,"Since 1965, California has built ""six (college) campuses but 23 prisons.",criminal justice;education;crime;state budget;the 2018 california governor's race,state budget,,subject,0,misleading,delaine eastin,"October 16, 2017",an interview on Capital Public Radio,train,11,,,
2855,Rhode Island has the highest percentage of uninsured adults of any state in New England.,economy;health care;poverty,economy,,subject,1,genuine,marie ghazal,"December 17, 2010",The Providence Journal,valid,15,,,
2862,Ohio has lost more population than every other state in the country except for two.,economy,economy,,subject,0,misleading,john kasich,"December 14, 2010",a news conference,train,15,,,
13106,Florida is now the only state in the nation to tax commercial leases.,taxes,taxes,,subject,1,genuine,rick scott,"March 7, 2017",his State of the State speech,train,13,,,
20718,Trump cut Social Security benefits by over $3 billion.,federal budget;social security;facebook fact-checks,federal budget;social security,,subject,0,misleading,congressional progressive caucus pac,"November 10, 2021",a Facebook post,train,9,,,
10178,More than 30 cents of every state tax dollar goes to Medicaid.,debt;disability;economy;families;health care;medicaid;poverty;state budget;taxes,debt;economy;state budget;taxes,,subject,1,genuine,elizabeth roberts,"March 2, 2015",a presentation to the Reinventing Medicaid Working Group,train,12,,,
14048,"If you don't pay income taxes ... you'll have more money"" under the Republican tax plan.",health care;taxes,taxes,income tax,subject_and_text,0,misleading,tim scott,"November 26, 2017","an interview on ABC's ""This Week""",valid,16,,,
10749,"Missouri is ""#1 in the nation for holding down tuition increases at public universities.",federal budget;state budget,federal budget;state budget,,subject,1,genuine,jay nixon,"August 12, 2015",a post on Twitter,train,14,,,
10260,The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,jobs;state budget;transportation,jobs;state budget,,subject,1,genuine,senate democrats,"March 31, 2015",interviews,train,22,,,
8741,95 percent of the income gains in the last few years have gone to the top 1 percent.,income;jobs;punditfact,income;jobs,,subject,1,genuine,neera tanden,"April 27, 2014","comments on NBC's ""Meet the Press""",train,18,,,
4541,"Every day in the United States, we are losing 15 factories.",economy;jobs;taxes,economy;jobs;taxes,,subject,1,genuine,betty sutton,"October 25, 2011",the House of Representatives,train,11,,,
4022,Says New Jersey has fewer jobs since Gov. Chris Christie took office.,jobs,jobs,,subject,0,misleading,joshua henne,"July 20, 2011",a press release from One New Jersey,train,12,,,
10694,"Says Scott Walker rejected legislation to make college loan payments tax deductible and the result was ""to raise taxes on students.",debt;education;federal budget;taxes,debt;federal budget;taxes,,subject,0,misleading,hillary clinton,"August 11, 2015",a speech,train,21,,,
14969,"Says the Trump administration ""has banned the CDC even using the word 'transgender.'",federal budget;health care;public health;sexuality,federal budget,,subject,0,misleading,tammy baldwin,"June 26, 2018",a public forum,test,13,,,
2358,"Jobs incentive program ""created over 1,200 high-wage jobs since 2009.",county budget;economy,economy,,subject,0,misleading,tammy hall,"September 27, 2010",a campaign mailer,test,10,,,
10227,"The projected revenue from the Mayweather/Pacquiao fight is ""larger than the annual GDP of 29 different countries.",economy;sports;punditfact,economy,,subject,0,misleading,jim lampley,"May 2, 2015",comments before the Mayweather vs. Pacquiao fight,train,17,,,
2673,The (federal) debt is growing by more than $4 billion a day.,deficit;economy;federal budget,deficit;economy;federal budget,,subject,1,genuine,rick perry,"November 2, 2010","""Fed Up! Our Fight to Save America from Washington""",train,12,,,
13678,"On Foxconn deal, ""3,000 jobs cost #WI taxpayers more than $3 billion in tax giveaways. Break it down: more than $1 million in taxpayer dollars per job.",economy;jobs;technology;taxes,economy;jobs;taxes,,subject,0,misleading,melissa sargent,"August 2, 2017",a tweet,train,27,,,
4832,We're only inches away from no longer being a free economy.,economy;new hampshire 2012;regulation,economy,,subject,0,misleading,mitt romney,"January 7, 2012","Manchester, N.H",test,11,,,
4392,Bryce Reeves chaired a group bankrolled by a New York billionaire who fired hundreds of Virginia workers and sent their jobs to China.,china;jobs;message machine 2012,jobs,,subject,0,misleading,edd houck,"September 29, 2011",a TV ad,train,23,,,
11895,"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.",candidate biography;economy;history;foreign policy;trade,economy;trade,,subject,0,misleading,donald trump,"June 22, 2016",a speech,train,20,,,
7044,"Of $60 billion Congress approved in response to Hurricane Sandy, ""only 10 percent was for disaster relief.",federal budget,federal budget,,subject,0,misleading,al cardenas,"March 1, 2013",an interview on MSNBC’s Morning Joe,train,17,,,
877,Warren (Buffett) still does support me.,economy,economy,,subject,1,genuine,barack obama,"March 22, 2009",a television interview,train,6,,,
6817,The amount of money that we put into running our own state legislature is nearly as much as we put into the University of Rhode Island.,economy;education;state budget,economy;state budget,,subject,0,misleading,dawson hodgson,"January 3, 2013",a radio interview,train,26,,,
16282,"Mexico, they took 30% of our automobile business.",trade,trade,,subject,0,misleading,donald trump,"July 12, 2019",a speech at Derco Aerospace,train,8,,,
5516,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs.",economy;federal budget;jobs;transportation,economy;federal budget;jobs,,subject,0,misleading,sheldon whitehouse,"April 16, 2012",a speech on the floor of the U.S. Senate,train,24,,,
9192,"The Consumer Financial Protection Bureau ""passed a rule giving the agency unprecedented power to shut down businesses, no matter what the reason, at any time it wishes.",financial regulation;punditfact,financial regulation,,subject,0,misleading,katie pavlich,"June 18, 2014",an article on Townhall.com,train,27,,,
10112,"Inflation-adjusted defense spending has declined 21 percent since 2010, and even if we discount the drawdowns in Iraq and Afghanistan, it has still declined by a dangerous 12 percent.",federal budget;military,federal budget,,subject,1,genuine,marco rubio,"March 24, 2015",a Senate floor speech,train,29,,,
12369,"The head of the IRS ordered 24,000 emails erased before Congress could review them, making sure the American people will never know the real truth.",congress;technology;transparency;taxes,taxes,,subject,0,misleading,john fleming,"September 12, 2016",a radio ad,train,25,,,
4359,"Today, you have six financial institutions, the largest six, that have assets that are the equivalent of 60 percent of the GDP of the United States of America.",financial regulation;new hampshire 2012;occupy wall street,financial regulation,,subject,1,genuine,bernie sanders,"October 4, 2011",an interview with MSNBC,train,28,,,
9885,You cannot build a little guy up by tearing a big guy down -- Abraham Lincoln said it.,candidate biography;taxes,taxes,,subject,0,misleading,john kasich,"January 25, 2015","comments on ""Fox News Sunday""",train,18,,,
21081,"And just like that, your $15/hr doesn't buy you as much as $7.50/hr did a year ago.",economy;income;facebook fact-checks,economy;income,,subject,0,misleading,facebook posts,"March 4, 2022",a Facebook post,train,17,,,
6644,"Says Connie Mack ""wrote a letter to the Department of Transportation in order to get $29 million in stimulus for his congressional district.",stimulus,stimulus,,subject,1,genuine,bill nelson,"October 17, 2012","Davie, Fla",train,23,,,
7910,It's been 4 and a half years since the United States Senate passed a budget.,congress;federal budget,federal budget,,subject,0,misleading,bob mcdonnell,"October 2, 2013",a TV interview,train,15,,,
19439,Democrats have accomplished a lot in just 2 months ... 1 Million energy jobs destroyed.,climate change;energy;jobs;california,jobs,,subject,0,misleading,kevin mccarthy,"March 14, 2021",an interview on Fox News,train,15,,,
9882,"The Texas leg of the Keystone pipeline ""has already created 4,800 jobs in just the year it's been up and running.",energy;jobs,jobs,,subject,0,misleading,john cornyn,"January 20, 2015",a post on his U.S. Senate website,train,21,,,
3399,There used to be 16 workers for every one person on Social Security. ... Now it's three.,deficit;federal budget,deficit;federal budget,,subject,1,genuine,mark warner,"April 11, 2011",a meeting with The Atlanta Journal-Constitution editorial board,train,17,,,
867,I don't do earmarks. I've never done one. I'm not going to do one.,federal budget,federal budget,,subject,1,genuine,john boehner,"March 12, 2009",a news conference,train,14,,,
10326,One out of five of our children live in a family that's on food stamps.,agriculture;children;federal budget,federal budget,,subject,1,genuine,rick perry,"May 16, 2015",Iowa,test,15,,,
19722,Photos show gas costs nearly $10 in the Carolinas.,gas prices;facebook fact-checks,gas prices,,subject,0,misleading,viral image,"May 11, 2021",a Facebook post,train,9,,,
5961,"Obamacare"" is the ""biggest tax increase in American history.",corrections and updates;federal budget;health care;taxes,federal budget;taxes,,subject,0,misleading,mark neumann,"July 10, 2012",an interview,valid,9,,,
3651,Abraham Lincoln (once) jumped out of a window in the Illinois Legislature in order to deny a quorum.,history;labor;state budget,labor;state budget,,subject,1,genuine,mark miller,"May 18, 2011",remarks to reporters,train,18,,,
