matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority,audit_chunk_file,claim_normalised_check,exact_liar2_overlap_check,dataset_round,previous_pair_id,organisation,audit_origin,pre_audited,article_id,binary_label_name,finance_term_count,verdict,claim_normalised,financial_matches_list,financial_match_set,origin_priority,pair_pre_audited_count,automatic_large_length_gap,claim_normalised_final
politifact_176,PolitiFact,genuine,"Obama promised to cut the deficit by half by the end of his first term but he ""hasn't even come close.""",genuine,true,True,['deficit'],21,True,1,1.0,14,2012-05-17T00:00:00,https://www.politifact.com/factchecks/2012/may/17/crossroads-gps/crossroads-gps-ad-says-obama-failed-keep-pledge-ha/,70511,73012,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,10,factors_audit_chunk_01_completed.csv,obama promised to cut the deficit by half by the end of his first term but he hasn t even come close,False,round1,,,,,,,,,,,,,,,obama promised to cut the deficit by half by the end of his first term but he hasn t even come close
politifact_176,PolitiFact,misleading,"Says President Obama has ""doubled"" the deficit.",misleading,false,False,['deficit'],7,True,1,1.0,14,2012-10-05T00:00:00,https://www.politifact.com/factchecks/2012/oct/05/mitt-romney/mitt-romney-says-barack-obama-has-doubled-deficit/,70798,73299,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,10,factors_audit_chunk_01_completed.csv,says president obama has doubled the deficit,False,round1,,,,,,,,,,,,,,,says president obama has doubled the deficit
snopes_075,Snopes,genuine,"Comedian and talk show host Bill Maher said he hopes an economic recession will occur because it's a way to get rid of President Trump.""",genuine,true,True,['macroeconomy'],25,True,1,1.0,13,2018-06-13T12:11:48,https://www.snopes.com/fact-check/bill-maher-recession-get-rid-trump/,90524,93876,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,13,factors_audit_chunk_01_completed.csv,comedian and talk show host bill maher said he hopes an economic recession will occur because it s a way to get rid of president trump,False,round1,,,,,,,,,,,,,,,comedian and talk show host bill maher said he hopes an economic recession will occur because it s a way to get rid of president trump
snopes_075,Snopes,misleading,The White House changed the definition of what constitutes an economic recession.,misleading,false,False,['macroeconomy'],12,True,1,1.0,13,2022-07-28T16:01:35,https://www.snopes.com/fact-check/white-house-definition-recession/,84750,87872,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,13,factors_audit_chunk_01_completed.csv,the white house changed the definition of what constitutes an economic recession,False,round1,,,,,,,,,,,,,,,the white house changed the definition of what constitutes an economic recession
politifact_014,PolitiFact,genuine,"Says ""half the Americans don't pay any income taxes.""",genuine,true,True,"['tax', 'income']",9,True,2,1.0,12,2012-02-29T00:00:00,https://www.politifact.com/factchecks/2012/feb/29/scott-garrett/congressman-scott-garrett-claims-half-all-american/,68793,71294,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,14,factors_audit_chunk_01_completed.csv,says half the americans don t pay any income taxes,False,round1,,,,,,,,,,,,,,,says half the americans don t pay any income taxes
politifact_014,PolitiFact,misleading,"Says that with President Obama's re-election, state and federal income tax rates for some taxpayers will rise ""to roughly 65 percent.""",misleading,false,False,"['tax', 'income']",21,True,2,1.0,12,2012-11-15T00:00:00,https://www.politifact.com/factchecks/2012/nov/15/mike-white/obamas-re-election-federal-and-state-rates-wiscons/,70881,73382,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,14,factors_audit_chunk_01_completed.csv,says that with president obama s re election state and federal income tax rates for some taxpayers will rise to roughly 65 percent,False,round1,,,,,,,,,,,,,,,says that with president obama s re election state and federal income tax rates for some taxpayers will rise to roughly 65 percent
grass_fact_check_015,Grass Fact Check,genuine,"""Average annual inflation constituted 8.4% under the governance of the United National Movement whilst the figure under the Georgian Dream's governance is 6%.""",genuine,true,True,['inflation'],23,True,1,1.0,11,2024-03-25T00:00:00,https://factcheck.ge/en/story/42705--average-annual-inflation-constituted-8-4-under-the-governance-of-the-united-national-movement-whilst-the-figure-under-the-georgian-dream-s-governance-is-6,44462,44639,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,17,factors_audit_chunk_01_completed.csv,average annual inflation constituted 8 4 under the governance of the united national movement whilst the figure under the georgian dream s governance is 6,False,round1,,,,,,,,,,,,,,,average annual inflation constituted 8 4 under the governance of the united national movement whilst the figure under the georgian dream s governance is 6
grass_fact_check_015,Grass Fact Check,misleading,"""Another problem is the price increase, inflation… According to only the latest documents, prices for practically everything rose by an average of 20-25%. Prices of some products reveal as much as a 200% increase.""",misleading,false,False,['inflation'],34,True,1,1.0,11,2014-05-08T00:00:00,https://factcheck.ge/en/story/12669-another-problem-is-the-price-increase-inflation-according-to-only-the-latest-documents-prices-for-practically-everything-rose-by-an-average-of-20-25-prices-of-some-products-reveal,43725,43897,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,True,False,2,17,factors_audit_chunk_01_completed.csv,another problem is the price increase inflation according to only the latest documents prices for practically everything rose by an average of 20 25 prices of some products reveal as much as a 200 increase,False,round1,,,,,,,,,,,,,,,another problem is the price increase inflation according to only the latest documents prices for practically everything rose by an average of 20 25 prices of some products reveal as much as a 200 increase
grass_fact_check_026,Grass Fact Check,genuine,"Of the GEL 345 million increase in the 2019 state budget, GEL 145 million is debt",genuine,true,True,"['budget', 'debt']",16,False,0,0.0,1,2018-12-05T00:00:00,https://factcheck.ge/en/story/37715-of-the-gel-345-million-increase-in-the-2019-state-budget-gel-145-million-is-debt#439,43867,44039,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,22,factors_audit_chunk_01_completed.csv,of the gel 345 million increase in the 2019 state budget gel 145 million is debt,False,round1,,,,,,,,,,,,,,,of the gel 345 million increase in the 2019 state budget gel 145 million is debt
grass_fact_check_026,Grass Fact Check,misleading,Interest rates under the previous government were at 21% and they have been decreased three-fold,misleading,false,False,['interest_mortgage'],15,False,0,0.0,1,2019-06-30T00:00:00,https://factcheck.ge/en/story/38136-interest-rates-under-the-previous-government-were-at-21-and-they-have-been-decreased-three-fold,43672,43844,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,22,factors_audit_chunk_01_completed.csv,interest rates under the previous government were at 21 and they have been decreased three fold,False,round1,,,,,,,,,,,,,,,interest rates under the previous government were at 21 and they have been decreased three fold
grass_fact_check_024,Grass Fact Check,genuine,Wine export in 2017 was quite voluminous and exceeded 76 million bottles,genuine,true,True,['trade'],12,False,0,0.0,0,2018-07-30T00:00:00,https://factcheck.ge/en/story/36698-wine-export-in-2017-was-quite-voluminous-and-exceeded-76-million-bottles,43880,44052,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,28,factors_audit_chunk_01_completed.csv,wine export in 2017 was quite voluminous and exceeded 76 million bottles,False,round1,,,,,,,,,,,,,,,wine export in 2017 was quite voluminous and exceeded 76 million bottles
grass_fact_check_024,Grass Fact Check,misleading,"The increase in investment, including its ratio to the GDP, is unprecedented.",misleading,false,False,['macroeconomy'],12,False,0,0.0,0,2024-10-14T00:00:00,https://factcheck.ge/en/story/43269-the-increase-in-investment-including-its-ratio-to-the-gdp-is-unprecedented,44422,44599,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,28,factors_audit_chunk_01_completed.csv,the increase in investment including its ratio to the gdp is unprecedented,False,round1,,,,,,,,,,,,,,,the increase in investment including its ratio to the gdp is unprecedented
grass_fact_check_025,Grass Fact Check,genuine,"""In 2022, revenues from export, tourism and remittances trebled to USD 3.6 billion.""",genuine,true,True,"['company_finance', 'trade']",13,False,0,0.0,0,2023-07-03T00:00:00,https://factcheck.ge/en/story/42021--in-2022-revenues-from-export-tourism-and-remittances-from-to-russia-trebled-to-usd-3-6-billion,44282,44457,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,29,factors_audit_chunk_01_completed.csv,in 2022 revenues from export tourism and remittances trebled to usd 3 6 billion,False,round1,,,,,,,,,,,,,,,in 2022 revenues from export tourism and remittances trebled to usd 3 6 billion
grass_fact_check_025,Grass Fact Check,misleading,"""The real purchasing power of pensions has decreased over the past 12 years.""",misleading,lie,False,['pension'],13,False,0,0.0,0,2024-03-11T00:00:00,https://factcheck.ge/en/story/42665--the-real-purchasing-power-of-pensions-has-decreased-over-the-past-12-years,44458,44635,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,29,factors_audit_chunk_01_completed.csv,the real purchasing power of pensions has decreased over the past 12 years,False,round1,,,,,,,,,,,,,,,the real purchasing power of pensions has decreased over the past 12 years
politifact_198,PolitiFact,genuine,"Wisconsin is ""dead last in income growth"" among midwestern states during Gov. Scott Walker's term.",genuine,true,True,['income'],15,False,0,0.0,0,2014-08-28T00:00:00,https://www.politifact.com/factchecks/2014/aug/28/blog-posting/bloggers-say-wisconsin-ranks-last-income-growth-/,66066,68563,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,31,factors_audit_chunk_01_completed.csv,wisconsin is dead last in income growth among midwestern states during gov scott walker s term,False,round1,,,,,,,,,,,,,,,wisconsin is dead last in income growth among midwestern states during gov scott walker s term
politifact_198,PolitiFact,misleading,"Says Maine Democrat Jared Golden ""supports using your Social Security to fund other government programs.""",misleading,pants-fire,False,['pension'],15,False,0,0.0,0,2018-11-02T00:00:00,https://www.politifact.com/factchecks/2018/nov/02/national-republican-congressional-committee/nrcc-ad-way-saying-jared-golden-wants-take-away-so/,62434,64899,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,31,factors_audit_chunk_01_completed.csv,says maine democrat jared golden supports using your social security to fund other government programs,False,round1,,,,,,,,,,,,,,,says maine democrat jared golden supports using your social security to fund other government programs
politifact_199,PolitiFact,genuine,"Say that under state law, ""systems development charges can only be spent on capital investment.""",genuine,true,True,['investment'],15,False,0,0.0,0,2012-05-05T00:00:00,https://www.politifact.com/factchecks/2012/may/05/charlie-hales/can-system-development-charges-be-spent-capital-pr/,68526,71027,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,32,factors_audit_chunk_01_completed.csv,say that under state law systems development charges can only be spent on capital investment,False,round1,,,,,,,,,,,,,,,say that under state law systems development charges can only be spent on capital investment
politifact_199,PolitiFact,misleading,"Says Wisconsin Gov. Scott Walker's budget ""calls for raising property taxes by nearly $500 billion.""",misleading,pants-fire,False,"['tax', 'budget']",15,False,0,0.0,0,2012-04-30T00:00:00,https://www.politifact.com/factchecks/2012/apr/30/pat-quinn/illinois-gov-pat-quinn-says-gov-scott-walkers-budg/,68545,71046,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,32,factors_audit_chunk_01_completed.csv,says wisconsin gov scott walker s budget calls for raising property taxes by nearly 500 billion,False,round1,,,,,,,,,,,,,,,says wisconsin gov scott walker s budget calls for raising property taxes by nearly 500 billion
politifact_200,PolitiFact,genuine,"""There will be several thousand dollars in payments going to families with six-figure incomes who've had no income interruption whatsoever.""",genuine,true,True,['income'],20,False,0,0.0,0,2021-01-21T00:00:00,https://www.politifact.com/factchecks/2021/jan/21/pat-toomey/fact-checking-pat-toomeys-claim-families-six-figur/,75574,78166,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,33,factors_audit_chunk_01_completed.csv,there will be several thousand dollars in payments going to families with six figure incomes who ve had no income interruption whatsoever,False,round1,,,,,,,,,,,,,,,there will be several thousand dollars in payments going to families with six figure incomes who ve had no income interruption whatsoever
politifact_200,PolitiFact,misleading,"""The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.""",misleading,false,False,['banking'],20,False,0,0.0,0,2022-05-02T00:00:00,https://www.politifact.com/factchecks/2022/may/02/facebook-posts/no-proof-ukraine-president-zelenskyy-owns-35-milli/,59789,62116,yes,yes,yes,yes,yes,Passed all audit criteria.,False,False,False,True,2,33,factors_audit_chunk_01_completed.csv,the president of ukraine owns a 35 million home in florida and has 1 2 billion in a overseas bank account,False,round1,,,,,,,,,,,,,,,the president of ukraine owns a 35 million home in florida and has 1 2 billion in a overseas bank account
