matched_pair_id,pair_source,pair_role,claim,pure_binary_label,original_verdict,normalised_rating,financial_matches,word_count,pair_has_shared_concept,pair_shared_concept_count,pair_concept_jaccard,pair_word_difference,date_published,url,claim_id,row_id,finance_relevant,label_valid,standalone_claim,no_editorial_framing,keep,audit_notes,automatic_editorial_flag,automatic_long_claim_flag,automatic_large_pair_length_gap,automatic_no_shared_concept,row_risk_score,audit_priority
snopes_042,Snopes,genuine,Chase Bank deleted a tweet advising consumers to shore up low account balances by not eating out or buying coffee.,genuine,true,True,['banking'],20,True,1,1.0,1,2019-04-29T11:59:00,https://www.snopes.com/fact-check/chase-bank-deleted-tweet/,89461,92765,,,,,,,False,False,False,False,0,200
snopes_042,Snopes,misleading,"An old episode of ""The Simpsons"" featured a plot line about a run on a bank called the Silicon Valley Bank.",misleading,false,False,['banking'],21,True,1,1.0,1,2023-03-12T22:14:42,https://www.snopes.com/fact-check/simpsons-predict-silicon-valley-bank-crash/,83072,86141,,,,,,,False,False,False,False,0,200
snopes_043,Snopes,genuine,"Homeowners affected by hurricanes are allowed, under certain circumstances, to delay their mortgage payments.",genuine,true,True,['interest_mortgage'],14,True,1,1.0,1,2017-09-15T16:03:41,https://www.snopes.com/fact-check/can-hurricane-victims-delay-their-mortgage-payments/,91557,94931,,,,,,,False,False,False,False,0,201
snopes_043,Snopes,misleading,Prince Harry and Meghan Markle created a GoFundMe to pay off their mortgage.,misleading,false,False,['interest_mortgage'],13,True,1,1.0,1,2021-03-21T09:25:32,https://www.snopes.com/fact-check/harry-meghan-gofundme/,86617,89807,,,,,,,False,False,False,False,0,201
snopes_044,Snopes,genuine,"The national debt saw a ""surprising"" decline of $102 billion between 20 January and 27 July 2017.",genuine,true,True,['debt'],17,True,1,1.0,1,2017-08-14T14:19:51,https://www.snopes.com/fact-check/national-debt-trump/,91699,95075,,,,,,,False,False,False,False,0,202
snopes_044,Snopes,misleading,The Obama administration is selling blueprints for the B-2 Stealth Bomber to China in exchange for debt relief,misleading,false,False,['debt'],18,True,1,1.0,1,2009-07-28T23:03:32,https://www.snopes.com/fact-check/b-2-plans-for-sale/,96793,100254,,,,,,,False,False,False,False,0,202
snopes_045,Snopes,genuine,"Donald Trump proclaimed during the first presidential debate of 2016 that not paying federal taxes made him ""smart.""",genuine,true,True,['tax'],18,True,1,1.0,1,2016-09-28T12:06:27,https://www.snopes.com/fact-check/trump-taxes-smart/,93226,96626,,,,,,,False,False,False,False,0,203
snopes_045,Snopes,misleading,"U.S. Sen. Bernie Sanders' health care plan proposes to raise the tax rate to 52% on incomes over $29,000.",misleading,false,False,['tax'],19,True,1,1.0,1,2020-02-21T16:21:38,https://www.snopes.com/fact-check/sanders-tax-plan-52-percent/,84238,87350,,,,,,,False,False,False,False,0,203
snopes_046,Snopes,genuine,President John F. Kennedy donated his entire presidential salary to charity.,genuine,true,True,['employment'],11,True,1,1.0,1,2016-08-05T08:35:48,https://www.snopes.com/fact-check/jfk-presidential-salary/,93553,96961,,,,,,,False,False,False,False,0,204
snopes_046,Snopes,misleading,Chris Christie said that teachers should make only minimum wage plus bonuses.,misleading,false,False,['employment'],12,True,1,1.0,1,2015-08-26T08:26:13,https://www.snopes.com/fact-check/chris-christie-teacher-minimum-wage/,94854,98286,,,,,,,False,False,False,False,0,204
