id,statement,binary_label,binary_label_name,split,matched_pair_id,broad_topic,word_count
5341,"Ronald Reagan ""understood repeatedly that when the deficit started to get out of control, that for him to make a deal he would have to propose both spending cuts and tax increases.",1,genuine,test,test_pair_0092,taxation,32
8296,"The average rate of fraud"" in the Earned Income Tax Credit, Medicare, Medicaid and food stamps programs ""is 20 to 25 percent.",0,misleading,test,test_pair_0082,taxation,22
16853,"Alexandria Ocasio-Cortez and Ilhan Omar vowed ""to remove senior's 'entitlements,' Social Security/Medicare.",0,misleading,test,test_pair_0010,social_welfare,12
4850,"In the past year, Floridians, not government, created almost 135,000 new private sector jobs. We netted more than 120,000 total jobs in the first 11 months of 2011; the third most of any state in the nation.",1,genuine,test,test_pair_0008,labour_and_income,37
1346,The law is very clear! 'The monies recouped from the TARP shall be paid into the general fund of the treasury for the reduction of the public debt.',1,genuine,test,test_pair_0034,public_finance,28
8624,"Wisconsin is ""one of the bluest"" states, but under Scott Walker its unemployment rate ""is around 3.5%.",0,misleading,test,test_pair_0055,labour_and_income,17
6773,Faculty salaries at UW System institutions have now fallen more than 18 percent below the national average.,1,genuine,test,test_pair_0023,public_finance,17
6164,"Household income in America has gone down for families an average of $4,000 in the last four years"" while it "" went up $5,000"" under Mitt Romney when he was governor of Massachusetts",0,misleading,test,test_pair_0039,public_finance,33
2218,Sean Duffy backed plan to privatize Social Security.,0,misleading,test,test_pair_0009,social_welfare,8
7227,"The ""working tax cut"" created ""over 40,000 new jobs in just the last four years.",0,misleading,test,test_pair_0074,taxation,15
10619,"57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.",0,misleading,test,test_pair_0031,public_finance,21
5670,"in the last six months of the Bush administration, the U.S. lost 3.5 million jobs, including 760,000 jobs during January 2009 alone.",1,genuine,test,test_pair_0062,labour_and_income,22
7418,The average student comes out of college hundreds of thousands of dollars in debt.,0,misleading,test,test_pair_0022,public_finance,14
2801,"Under the compromise tax agreement, ""99.7% of American families will not pay 1 nickel in an estate tax.",1,genuine,test,test_pair_0078,taxation,18
11532,A college loan is the only loan in the United States that you cannot refinance when interest rates go down.,1,genuine,test,test_pair_0028,public_finance,20
3899,many public-employee unions falsely told their Wisconsin members his budget-repair bill sought 12 percent to 13 percent of their incomes for health insurance premiums.,0,misleading,test,test_pair_0034,public_finance,24
6248,"After a decade of decline, this country created over half a million manufacturing jobs in the last two and a half years.",1,genuine,test,test_pair_0058,labour_and_income,22
2677,"Small businesses that have ""$250,000 in gross sales for the business. They're the ones that are looking at massive tax increases.",0,misleading,test,test_pair_0080,taxation,21
4103,"Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates.",0,misleading,test,test_pair_0016,public_finance,11
8342,"The federal minimum wage is worth about 20 percent less than it was when Ronald Reagan"" gave his first address to a joint session of Congress.",1,genuine,test,test_pair_0060,labour_and_income,26
4003,"Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, it's actually the rule.",1,genuine,test,test_pair_0035,public_finance,28
6652,"""Tennessee law requires that schools receive half of proceeds -- $31 million per year"" -- from a half-cent increase in the Shelby County sales tax.",1,genuine,test,test_pair_0087,taxation,25
2528,"Robert Hurt ""supports the tax loopholes that send American jobs overseas.",0,misleading,test,test_pair_0069,taxation,11
2520,More Texans have new jobs today than the entire population of Fort Worth.,1,genuine,test,test_pair_0010,labour_and_income,13
2598,"Members of Congress did not have three days to read the bill ""when the stimulus was rushed into law.",1,genuine,test,test_pair_0026,public_finance,19
532,"If you have an investment for your child's education or own a mutual fund or a stock in a retirement plan, (Obama) is going to raise your taxes.",0,misleading,test,test_pair_0090,taxation,28
3736,The Obama administration has cut taxes on small businesses 17 times.,1,genuine,test,test_pair_0003,taxation,11
2057,"If we ban the practice of earmarks, we could save the American taxpayer anywhere between $15 (billion) to $20 billion dollars a year in pork-barrel spending.",1,genuine,test,test_pair_0086,taxation,26
2358,"Jobs incentive program ""created over 1,200 high-wage jobs since 2009.",0,misleading,test,test_pair_0013,public_finance,10
5056,"Maryland is ""creating jobs at 2 ½ times the rate that Virginia is.",0,misleading,test,test_pair_0049,labour_and_income,13
9180,"a $12.5 million incentive deal she approved for Abbott Laboratories contained ""strong protections for taxpayers if job creation goals were not met.",0,misleading,test,test_pair_0084,taxation,22
1495,"she was the ""the only Democrat who voted against the Wall Street bailout.",1,genuine,test,test_pair_0005,public_finance,13
22591,"The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.",0,misleading,test,test_pair_0077,taxation,17
14511,"Studies show ""the 2016 shooting and murder rate in Chicago cost us about $9.6 BILLION DOLLARS"" and ""the entire City budget for 2018 is $8.6 billion dollars. This math does not work, it is financially killing our city.",0,misleading,test,test_pair_0040,public_finance,38
1138,"The Baucus health care bill would require taxes on medical devices such as X-ray machines, female condoms, HIV tests and surgical needles.",1,genuine,test,test_pair_0081,taxation,22
11660,"North Carolina has ""one of the fastest growing populations as well as the fastest growing economy in the country.",1,genuine,test,test_pair_0056,labour_and_income,19
1260,Why is January 8th an important date in American history? This day in 1835 is the only day in our history when we have not been in debt.,1,genuine,test,test_pair_0033,public_finance,28
19529,The tax deadline is April 18th. Do your taxes soon.,0,misleading,test,test_pair_0067,taxation,10
10300,"he was known as ""Veto Corleone"" for cutting spending as Florida governor.",1,genuine,test,test_pair_0018,public_finance,12
5769,"under President Obama, there's been a substantial increase in federal government jobs.",0,misleading,test,test_pair_0050,labour_and_income,12
10091,"Job growth in the United States is now at the ""fastest pace in this country's history.",0,misleading,test,test_pair_0053,labour_and_income,16
5707,"It took us four years to balance the budget. Then I gave you four surplus budgets for the first time in more than 70 years, paid $600 billion down on the national debt.",1,genuine,test,test_pair_0038,public_finance,33
7931,Unemployment in the city of St. Petersburg is below the state average.,1,genuine,test,test_pair_0047,labour_and_income,12
2929,"The governor has made a ""commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back.",0,misleading,test,test_pair_0035,public_finance,27
4839,federal spending has increased 21 percent over the past three years.,1,genuine,test,test_pair_0015,public_finance,11
2168,Pat Toomey thinks corporations shouldn't pay any taxes.,1,genuine,test,test_pair_0064,taxation,8
7171,"Paul Ryan's budget ""keeps the Obamacare taxes and spending cuts that paid for Obamacare, but then cuts all of the benefits.",1,genuine,test,test_pair_0080,taxation,21
830,"There is no disagreement that we need action by our government, a recovery plan that will help to jump-start the economy.",0,misleading,test,test_pair_0029,public_finance,21
7604,"""our deficits are falling at the fastest rate in 60 years.",1,genuine,test,test_pair_0016,public_finance,11
6863,"Virginia economic development officials ""decided they didn't want to bid on"" his company's electric automobile plant.",0,misleading,test,test_pair_0007,macroeconomy,16
12039,We in Indiana have . . . the highest credit rating in the nation.,1,genuine,test,test_pair_0021,public_finance,14
7130,"An annual income of $500,000 ""in Manhattan, believe it or not, is middle class.",0,misleading,test,test_pair_0051,labour_and_income,14
842,Nancy Pelosi wants a Windfall Tax on Retirement Income.,0,misleading,test,test_pair_0064,taxation,9
6958,he and Mitt Romney agreed on tying minimum wage increases to inflation.,1,genuine,test,test_pair_0049,labour_and_income,12
12054,"Hillary Clinton ""supported North American Free Trade Agreement), and she supported China's entrance into the World Trade Organization…. She supported the job-killing trade deal with South Korea. She supported the Trans-Pacific Partnership.",1,genuine,test,test_pair_0063,labour_and_income,32
8737,"Ryan Sitton's company ""accepted over $650,000 in Obama stimulus dollars.",0,misleading,test,test_pair_0014,public_finance,10
8356,"President Barack Obama ""spent nearly a trillion dollars on make-work government jobs.",0,misleading,test,test_pair_0020,public_finance,12
2771,"Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.",1,genuine,test,test_pair_0077,taxation,18
15865,Pritzker and Madigan want to change the constitution to allow a permanent jobs tax on middle class families.,0,misleading,test,test_pair_0078,taxation,18
